sloka	pada	english	verb_part
1.60.11	क्रोधसमाविष्टः	seized of anger	[('seized', 'VBN')]
5.23.5	क्रोधाताम्राक्षी	eyes red with anger	[('red', 'VBD')]
4.46.11	क्रोधात्	enraged	[('enraged', 'VBN')]
2.106.14	क्रोधात्	due to anger	[('anger', 'VB')]
3.51.8	क्रोधात्	enraged	[('enraged', 'VBN')]
3.64.68	क्रोधात्	due to anger	[('anger', 'VB')]
4.24.6	क्रोधात्	owing to wrath	[('owing', 'VBG'), ('wrath', 'VB')]
5.55.10	क्रोधाभिभूतेन	over powered by anger	[('powered', 'VBN')]
1.65.10	क्रोधितश्चैव	having been angered	[('having', 'VBG'), ('been', 'VBN')]
3.33.16	क्रोधिनम्	cholorictempered	[('cholorictempered', 'VBN')]
2.75.5	क्रोशतः	wailing	[('wailing', 'VBG')]
3.64.3	क्रोशतः	called out	[('called', 'VBN')]
3.45.2	क्रोशतः परमार्तस्य	crying out in great distress	[('crying', 'VBG')]
2.56.9	क्रोशति	is screaming	[('is', 'VBZ'), ('screaming', 'VBG')]
5.26.3	क्रोशती	screaming	[('screaming', 'VBG')]
2.40.38	क्रोशन्तः	while crying	[('crying', 'VBG')]
4.40.35	क्रोशन्तम्	roaring	[('roaring', 'VBG')]
3.59.18	क्रोशन्तम्	shouting for help	[('shouting', 'VBG')]
4.58.15	क्रोशन्ती	crying aloud	[('crying', 'VBG')]
1.54.6	क्रोशन्ती च	moaning	[('moaning', 'VBG')]
2.76.21	क्रोशन्तीनाम्	of those women crying	[('crying', 'VBG')]
2.78.16	क्रोशन्तीम्	shrieking	[('shrieking', 'VBG')]
4.59.19	क्रोशन्तीम्	while she cried	[('cried', 'VBD')]
3.52.42	क्रोशन्तीम्	while she was weeping	[('was', 'VBD'), ('weeping', 'VBG')]
3.52.7	क्रोशन्तीम्	lamenting	[('lamenting', 'VBG')]
1.60.19	क्रोशमानस्य	crying	[('crying', 'VBG')]
5.3.8	क्रौञ्चबर्हिणसङ्घुष्टैः	echoing with sounds of Krauncha birds and Peacocks	[('echoing', 'VBG')]
4.50.15	क्रौञ्चाश्च	and kraunchas	[('kraunchas', 'VB')]
2.42.23	क्लान्तदुर्बलदुःखार्ताम्	weak and exhausted with with grief	[('exhausted', 'VBD')]
2.71.34	क्लान्तम्	exhausted	[('exhausted', 'VBN')]
1.67.27	क्लान्तवाहनाः	with their horses tired	[('tired', 'VBD')]
2.70.1	क्लान्तवाहनाः	men with their vehicles (horses) weary	[('(horses)', 'VBP')]
2.69.21	क्लान्तवाहनाः	men with their vehicles (horses) weary	[('(horses)', 'VBP')]
5.11.4	क्लान्ताः	fatigued	[('fatigued', 'VBN')]
5.11.4	क्लान्ताः	tired out	[('tired', 'VBN')]
2.114.12	क्लान्ताम्	withered away	[('withered', 'VBN')]
5.41.17	क्लान्तैः	withered	[('withered', 'VBD')]
2.63.17	क्लिन्न पक्षोत्तराः	with the plummage moistened	[('moistened', 'VBD')]
1.41.20	क्लिन्नम्	inundated	[('inundated', 'VBN')]
4.28.58	क्लिन्नम्	overflowed with water	[('overflowed', 'VBN')]
2.63.49	क्लिश्यते	is pained	[('is', 'VBZ'), ('pained', 'VBN')]
2.39.7	क्लिश्यते	are suffering.	[('are', 'VBP')]
3.51.36	क्लिश्यमानः	being tormented	[('being', 'VBG'), ('tormented', 'VBN')]
5.38.24	क्लिश्यमानया	tormented	[('tormented', 'VBN')]
2.39.5	क्लिश्यमानस्य	while being tormented	[('being', 'VBG'), ('tormented', 'VBN')]
2.41.5	क्लिश्यमानेन	by being tormented	[('being', 'VBG'), ('tormented', 'VBN')]
2.12.66	क्लिश्यमानेन	by being tortured	[('being', 'VBG'), ('tortured', 'VBN')]
5.20.30	क्लिष्टकौशेयवसनाम्	wearing soiled silk clothes	[('wearing', 'VBG'), ('soiled', 'VBD')]
5.33.3	क्लिष्टकौशेयवासिनि	robed in crumpled silk	[('robed', 'VBN')]
3.52.6	क्लिष्टमाल्याभरणाम्	lady whose garlands were crushed and jewels let loose	[('were', 'VBD'), ('crushed', 'VBN'), ('let', 'VBP'), ('loose', 'VB')]
2.103.25	क्लिष्टम्	obscured	[('obscured', 'VBN')]
5.15.47	क्लिष्टवत्तरम्	crumpled	[('crumpled', 'VBN')]
2.91.33	क्लुप्तसर्वासनम्	with seats arranged for every one	[('arranged', 'VBN')]
5.31.17	क्लेशसंवृतम्	covered with hanging hair	[('covered', 'VBN'), ('hanging', 'VBG')]
2.51.3	क्लेशानाम्	for all kinds of suffering	[('suffering', 'VBG')]
2.103.7	क्लेशानाम्	of suffering	[('suffering', 'VBG')]
5.65.4	क्व	tell me	[('tell', 'VB')]
2.59.28	क्व	where is he?	[('is', 'VBZ')]
2.87.12	क्व	where did he stay	[('did', 'VBD'), ('stay', 'VB')]
3.12.13	क्व	where is he?	[('is', 'VBZ')]
2.87.12	क्व	where did she stay	[('did', 'VBD'), ('stay', 'VB')]
3.58.4	क्व	Where is she?	[('is', 'VBZ')]
3.58.3	क्व	where is she?	[('is', 'VBZ')]
2.72.31	क्व	where is it?	[('is', 'VBZ')]
3.58.2	क्व	where is she?	[('is', 'VBZ')]
4.59.3	क्व	where is she	[('is', 'VBZ')]
3.61.9	क्व गच्छसि	where have you gone	[('have', 'VBP'), ('gone', 'VBN')]
3.51.27	क्व गतः	where can it go	[('go', 'VB')]
3.9.28	क्व च क्षात्रं	where is the duty of a kshatriya	[('is', 'VBZ')]
3.9.28	क्व च वनं	and where is a forest	[('is', 'VBZ')]
3.61.3	क्व नु	where is she	[('is', 'VBZ')]
2.41.2	क्व नु गच्छति	where is he now going?	[('is', 'VBZ'), ('going?', 'VBP')]
3.67.3	क्व वा	where do we	[('do', 'VBP')]
3.9.28	क्वच शस्त्रं	where is a weapon	[('is', 'VBZ')]
4.64.24	क्वचित् हि	to carry out	[('carry', 'VB')]
1.46.23	क्षंतुम्	to forgive	[('forgive', 'VB')]
3.29.4	क्षणदाचर	O nightranger  लोकविरुद्धम् that which is against the world	[('is', 'VBZ')]
4.35.23	क्षतजनिभे	resembling blood	[('resembling', 'VBG')]
2.94.5	क्षतजसंनिभाः	are having bloodred colour	[('are', 'VBP'), ('having', 'VBG'), ('bloodred', 'VBN')]
3.25.14	क्षतजादिग्धः	bleeding through the wounds	[('bleeding', 'VBG')]
3.67.9	क्षतजार्द्रम्	drenched with blood	[('drenched', 'VBN')]
3.51.44	क्षतजार्द्रम्	drenched in blood	[('drenched', 'VBN')]
5.10.25	क्षतजेक्षणम्	having bloodred eyes	[('having', 'VBG'), ('bloodred', 'VBN')]
5.47.38	क्षतजोपमेक्षणम्	who had bloodshot eyes	[('had', 'VBD'), ('bloodshot', 'VBN')]
5.5.26	क्षतप्ररूढाम्	scar of superficially healed wound	[('healed', 'VBN')]
2.9.14	क्षतविक्षतान्	those wounded	[('wounded', 'VBD')]
2.32.29	क्षतवृत्तिः	digging the earth as profession	[('digging', 'VBG')]
1.32.3	क्षत्रधर्मचिकीर्षया	with a desire to carry out duties of warrior race	[('carry', 'VB')]
1.44.10	क्षत्रधर्मस्थितेन	abiding in the duties of a Kshatriya	[('abiding', 'VBG')]
2.21.43	क्षत्रधर्माश्रिताम्	resorting to the duty of a kshatriya	[('resorting', 'VBG')]
1.56.3	क्षत्रबन्धो	O Wicked kshatriya	[('Wicked', 'VBD')]
2.52.78	क्षत्रवच्चैव	and also befitting kshatriyas	[('befitting', 'VBG')]
3.36.10	क्षत्रियपांसनः	a calumny to kshatriyas	[('kshatriyas', 'VB')]
3.37.8	क्षत्रियपांसनः च	calumny to kshatriyas	[('kshatriyas', 'VB')]
2.64.56	क्षत्रियेण	by being a kshatriya	[('being', 'VBG')]
2.52.38	क्षन्तुम्	to excuse	[('excuse', 'VB')]
5.64.7	क्षन्तुम्	be at peace	[('be', 'VB')]
4.36.20	क्षन्तुम्	to forgive.	[('forgive.', 'VB')]
4.35.9	क्षन्तुम्	to pardon	[('pardon', 'VB')]
3.6.10	क्षन्तुम्	to excuse	[('excuse', 'VB')]
2.105.20	क्षपयन्ति	are decaying.	[('are', 'VBP')]
2.12.73	क्षपयिष्यति	will throw away	[('throw', 'VB')]
5.51.3	क्षमम्	that which is beneficial	[('is', 'VBZ')]
2.119.21	क्षमम्	is safe.	[('is', 'VBZ')]
4.55.19	क्षमम्	is fitting	[('is', 'VBZ'), ('fitting', 'VBG')]
2.47.9	क्षमम्	is possible?	[('is', 'VBZ')]
2.28.25	क्षमम् न हि	is not fit	[('is', 'VBZ')]
5.38.39	क्षमसे	you excuse him.	[('excuse', 'VBP'), ('him.', 'VB')]
4.20.25	क्षमस्व	may pardon	[('pardon', 'VB')]
2.13.9	क्षमापरः	forgiving	[('forgiving', 'VBG')]
1.15.7	क्षमामहे	we endure.	[('endure.', 'VBP')]
1.33.6	क्षमावताम्	of those having forberance	[('having', 'VBG')]
4.36.11	क्षमितव्यम्	one should pardon	[('pardon', 'VB')]
4.24.14	क्षमेत	will pardon	[('pardon', 'VB')]
2.78.21	क्षम्यताम्	may be pardoned.	[('be', 'VB')]
1.45.41	क्षयं गतम्	was perished	[('was', 'VBD'), ('perished', 'VBN')]
1.66.22	क्षयं यातानि	were deteriorated	[('were', 'VBD'), ('deteriorated', 'VBN')]
2.47.16	क्षयव्याकुलमानसाः	minds agitated	[('agitated', 'VBD')]
2.97.4	क्षये भवेत्	is obtaind through destruction	[('is', 'VBZ'), ('obtaind', 'VBN')]
5.6.31	क्षरतः	shedding	[('shedding', 'VBG')]
5.47.15	क्षरन्	flowing	[('flowing', 'VBG')]
2.1.16	क्षात्रं धर्मम्	code of conduct relating to kshatriyas	[('relating', 'VBG'), ('kshatriyas', 'VB')]
2.4.41	क्षान्तम्	enduring the pain (of observance of vows and fasting)	[('enduring', 'VBG')]
1.33.7	क्षान्तम् इति यत्	which act of  forgiving	[('forgiving', 'VBG')]
2.100.56	क्षारितः	falsely accused of adultery	[('accused', 'VBN')]
2.16.38	क्षितिस्थाश्च	standing on the ground also	[('standing', 'VBG')]
5.39.15	क्षिपतः	while he releases	[('releases', 'VBZ')]
4.54.14	क्षिपता	by throwing	[('throwing', 'VBG')]
5.22.17	क्षिपन्	looking down	[('looking', 'VBG')]
5.62.12	क्षिपन्ति	pushing each other	[('pushing', 'VBG')]
1.30.17	क्षिप्तः	was cast away.	[('was', 'VBD'), ('cast', 'VBN')]
5.1.126	क्षिप्तः	dropped down.	[('dropped', 'VBD')]
1.6.15	क्षिप्तचित्तो वा	agitated mind	[('agitated', 'VBN')]
4.66.23	क्षिप्तम्	hurled	[('hurled', 'VBN')]
5.40.4	क्षिप्ताम्	released	[('released', 'VBN')]
3.71.30	क्षिप्त्वा	dropping	[('dropping', 'VBG')]
3.22.3	क्षीणजीवितम्	shortlived	[('shortlived', 'VBN')]
5.36.3	क्षीणदुःखफला	your sorows ended	[('ended', 'VBD')]
2.114.14	क्षीणपानोत्तमैः	with excellent wine exhausted	[('exhausted', 'VBD')]
2.48.27	क्षीणपुण्याः	merits exhausted	[('exhausted', 'VBD')]
5.17.19	क्षीणपुण्याम्	merits exhausted	[('exhausted', 'VBD')]
2.64.74	क्षीणस्नेहस्य	with oil exhausted	[('exhausted', 'VBN')]
3.25.41	क्षीणाः	thinned down	[('thinned', 'VBN')]
5.18.28	क्षीबः	excited by drinking	[('excited', 'VBN')]
5.1.25	क्षीबाः	intoxicated ones	[('intoxicated', 'VBN')]
1.37.23	क्षीरसंभावनार्थाय	with a view to suckle him as their own offspring	[('suckle', 'VB')]
2.15.7	क्षीरिभिः	leaves from trees rich in sap	[('rich', 'VBP')]
4.40.42	क्षीरोदं नाम	milky ocean by name	[('ocean', 'VBN')]
1.45.17	क्षीरोदमथनम्	churning the ocean of milk	[('churning', 'VBG')]
4.40.46	क्षीरोदम्	milky ocean	[('ocean', 'VBP')]
4.37.25	क्षीरोदवेलानिलयाः	those dwelling on the banks of the milky ocean	[('dwelling', 'VBG')]
4.51.2	क्षुत्पिपासापरिश्रान्ताः	exhausted with hunger and thirst	[('exhausted', 'VBN')]
4.50.8	क्षुत्पिपासापरीताः	overcome by hunger and thirst	[('overcome', 'VBN')]
1.22.17	क्षुत्पिपासे	hunger or thirst	[('thirst', 'VB')]
1.6.12	क्षुद्रः	meanminded	[('meanminded', 'VBN')]
3.70.2	क्षुधार्तम्	suffering from hunger	[('suffering', 'VBG')]
5.58.39	क्षुधितायाः	I am hungry	[('am', 'VBP')]
1.14.9	क्षुधितो वापि	or hungry one	[('hungry', 'VB')]
1.36.14	क्षुभितम्	is shaken	[('is', 'VBZ'), ('shaken', 'VBN')]
1.65.13	क्षुभिताः	are agitated	[('are', 'VBP'), ('agitated', 'VBN')]
2.18.5	क्षुभ्यन्तम्	shaking	[('shaking', 'VBG')]
4.66.29	क्षेत्रजः	the offspring (one of twelve sons according to Hindu scriptures)	[('offspring', 'VBG'), ('according', 'VBG')]
2.118.28	क्षेत्रमण्डलम्	the circular plot of land for performing sacrifice	[('performing', 'VBG')]
5.4.20	क्षेपणीपाशहस्तांश्च	holding slings from which missiles are thrown	[('holding', 'VBG'), ('are', 'VBP')]
2.76.16	क्षेपयन्ति	were strewn	[('were', 'VBD')]
3.32.12	क्षेप्तारम्	who threw	[('threw', 'VBD')]
5.41.14	क्षेप्तुम्	to uproot	[('uproot', 'VB')]
3.60.2	क्षेमम् अपि नु	doubting the welfare	[('doubting', 'VBG')]
2.7.17	क्षेमम् कच्चित्	all is well I hope?	[('is', 'VBZ'), ('hope?', 'VBP')]
2.80.10	क्षोद्यान्	required crushing	[('required', 'VBN')]
3.32.11	क्षोभणम्	one who causes agitation	[('causes', 'VBZ')]
2.35.36	क्षोभयामास	made her feel sorry	[('made', 'VBN')]
4.67.17	क्षोभयिष्यामि	I will stir up	[('stir', 'VB')]
4.45.14	क्षोभयिष्यामि	I will churn.	[('churn.', 'VB')]
1.17.25	क्षोभयेयुः	could cause disturbance.	[('cause', 'VB')]
1.77.13	क्षौमवाससः	attired in silken apparels	[('attired', 'VBN')]
2.4.30	क्षौमवासिनीम्	wearing silk apparels	[('wearing', 'VBG')]
4.45.10	क्ष्वेलन्तः	leaping	[('leaping', 'VBG')]
5.57.41	क्ष्वेलन्ति	howled	[('howled', 'VBN')]
5.62.13	क्ष्वेलाम् प्रकुर्वन्ति	roared	[('roared', 'VBN')]
5.4.11	क्ष्वेलितांश्च	sounds of people joking	[('joking', 'VBG')]
5.58.44	खगतानाम्	residing in the sky	[('residing', 'VBG')]
5.47.33	खङ्गधरः	held a sword	[('held', 'VBD')]
2.23.34	खङ्गधाराहताः	struck by the blows of my sword	[('struck', 'VBN')]
3.5.15	खङ्गपाणयः	holding swords in their hands	[('holding', 'VBG')]
2.16.35	खड्गचापधराः	holding swords and bows	[('holding', 'VBG')]
1.48.2	खड्गतूणी धनुर्धरौ	armed with scimitars	[('armed', 'VBN')]
1.50.17	खड्गतूणीधनुर्धरौ	holding scimitars	[('holding', 'VBG')]
2.23.33	खड्गनिष्पेषनिष्पिष्टैः	by those hacked off with the sword	[('hacked', 'VBN')]
1.22.8	खड्गवन्तौ	armed with scimitars	[('armed', 'VBN')]
3.10.14	खण्डयितुम्	to exhaust them	[('exhaust', 'VB')]
3.23.13	खद्योतसम्प्रभाः	glittering like fireflies	[('glittering', 'VBG')]
5.1.51	खद्योतैः	covered with fireflies	[('covered', 'VBN')]
1.40.10	खनतः	for them who were excavating	[('were', 'VBD'), ('excavating', 'VBG')]
2.21.31	खनद्भिः	by those excavating	[('excavating', 'VBG')]
1.40.20	खनन्तः	digging	[('digging', 'VBG')]
1.39.21	खनन्तः	while excavating	[('excavating', 'VBG')]
2.31.23	खनित्रपिटकाधरः	holding a basket and a crowbar	[('holding', 'VBG')]
1.40.26	खनित्रलाङ्गलधराः	armed with spades	[('armed', 'VBN')]
3.4.12	खन्यताम्	may be dug up	[('be', 'VB'), ('dug', 'VBN')]
1.39.24	खन्यते	is being excavated	[('is', 'VBZ'), ('being', 'VBG'), ('excavated', 'VBN')]
1.40.12	खन्यमाने	was being excavated	[('was', 'VBD'), ('being', 'VBG'), ('excavated', 'VBN')]
1.35.23	खम् गता	reached the sky	[('reached', 'VBD')]
5.17.9	खरकर्ण्यश्वकर्णिकाः	some having ears of a donkey or horse	[('having', 'VBG')]
3.28.25	खरकार्मुकनिस्सृतैः	by those arrows released from the bow of Khara	[('released', 'VBN')]
3.40.6	खरघातिनः	of one who killed Khara	[('killed', 'VBD')]
3.22.20	खरचित्तानुवर्तिनाम्	of those acting according to the wishes of Khara	[('acting', 'VBG'), ('according', 'VBG')]
3.36.5	खरचित्तानुवर्तिनाम्	acting according to the will of Khara	[('acting', 'VBG'), ('according', 'VBG')]
3.30.34	खरदूषणमुख्यानाम्	led by Khara and Dusana	[('led', 'VBN')]
3.25.2	खरनिस्स्वनम्	producing terrible sound	[('producing', 'VBG')]
3.23.35	खरपराक्रमे	endowed with malicious might	[('endowed', 'VBN')]
3.36.6	खरप्रमुखराक्षसाः	demons led by Khara	[('led', 'VBN')]
3.29.26	खरबाहुप्रयुक्ता	unleashed by Khara's arms	[('unleashed', 'VBN')]
3.20.22	खरम्	to Khara	[('Khara', 'VB')]
3.28.29	खरम्	to Khara	[('Khara', 'VB')]
3.21.6	खरम्	to Khara	[('Khara', 'VB')]
3.49.19	खरयुक्तः	harnessed by donkeys	[('harnessed', 'VBN')]
3.31.34	खरयुक्तेन	yoked with donkeys	[('yoked', 'VBN')]
2.69.15	खरयुक्तेन	yoked with asses	[('yoked', 'VBN')]
5.27.24	खरयुक्तेन	yoked to donkeys	[('yoked', 'VBN'), ('donkeys', 'VB')]
5.44.5	खरयुक्तेन	drawn by donkeys	[('drawn', 'VBN')]
3.28.8	खररामविसर्जितैः	released by Khara and Rama	[('released', 'VBN')]
2.20.44	खरवादि	speaking harsh words	[('speaking', 'VBG')]
3.20.25	खरस्य	to Khara	[('Khara', 'VB')]
3.18.26	खरस्य	to Khara	[('Khara', 'VB')]
3.16.17	खर्जूरपुष्पाकृतिभिः	resembling the shape of date flowers	[('resembling', 'VBG')]
3.73.43	खस्थम्	he who stood in the sky	[('stood', 'VBD')]
5.25.3	खादत	you can eat	[('eat', 'VB')]
5.24.43	खादत	you may eat her	[('eat', 'VB')]
3.73.16	खादतः	while eating	[('eating', 'VBG')]
2.61.16	खादितुम्	to eat	[('eat', 'VB')]
5.24.41	खादेयम् इति	I may eat up	[('eat', 'VB')]
2.80.12	खानयामासुः	were dug.	[('were', 'VBD')]
1.5.2	खानितः	was made to be dug	[('was', 'VBD'), ('made', 'VBN'), ('be', 'VB')]
2.102.40	खुरनेमि समाहता	crushed with hooves and wheels	[('crushed', 'VBN')]
3.65.7	खुरनेमिक्षतः	damaged by hooves of horses and the rims of the chariot'	[('damaged', 'VBN')]
5.52.21	खेचरम्	who can come through sky and reach	[('come', 'VB')]
4.59.17	खेचरैः	by the flying creatures  in the sky	[('flying', 'VBG')]
1.70.2	ख्यातः	renowned	[('renowned', 'VBN')]
1.29.3	ख्यातः	known	[('known', 'VBN')]
5.26.13	ख्यातः	renowned	[('renowned', 'VBN')]
4.40.4	ख्यातकर्मापदानाश्च	earned fame for their valiant deeds in the past	[('earned', 'VBN')]
5.65.26	ख्यातम्	has been said	[('has', 'VBZ'), ('been', 'VBN'), ('said', 'VBD')]
2.9.11	ख्यातम्	renowned	[('renowned', 'VBN')]
1.10.14	ख्यातम्	is known.	[('is', 'VBZ')]
1.38.16	ख्यातम्	well known	[('known', 'VBN')]
5.60.2	ख्यातविक्रमैः	known for valour	[('known', 'VBN')]
1.16.32	ग	ते(सति) having become	[('having', 'VBG'), ('become', 'VBN')]
2.13.16	गगनासक्तलोचनः	looked at the sky with a fixed gaze	[('looked', 'VBN'), ('fixed', 'VBN')]
2.83.26	गङ्गाम् अनु	following Ganga	[('following', 'VBG')]
1.36.27	गङ्गायाः च	relating to Ganga	[('relating', 'VBG'), ('Ganga', 'VB')]
1.44.22	गङ्गावतरणम्	relating to the descent of Ganga	[('relating', 'VBG')]
2.14.34	गङ्गोदकघटाः	pots filled with waters of the Ganges	[('filled', 'VBN')]
5.62.19	गच्चामः	will go	[('go', 'VB')]
5.62.31	गच्चामः	let us go.	[('let', 'VB'), ('go.', 'VB')]
2.30.7	गच्चेयम्	I shall go to the forest.	[('go', 'VB')]
2.46.25	गच्छ	I shall go.	[('go.', 'VB')]
2.14.63	गच्छ	go	[('go', 'VB')]
2.74.4	गच्छ	go	[('go', 'VB')]
2.5.2	गच्छ	go	[('go', 'VB')]
2.12.86	गच्छ	go	[('go', 'VB')]
3.31.49	गच्छ	may go	[('go', 'VB')]
2.70.17	गच्छ	you may go	[('go', 'VB')]
4.1.113	गच्छ	you may go	[('go', 'VB')]
2.104.22	गच्छ	go	[('go', 'VB')]
2.82.30	गच्छ	go	[('go', 'VB')]
2.55.27	गच्छ	go	[('go', 'VB')]
2.116.21	गच्छ	you may go.	[('go.', 'VB')]
3.13.18	गच्छ	you may go	[('go', 'VB')]
2.64.44	गच्छ	you will attain.	[('attain.', 'VB')]
2.24.33	गच्छ	go	[('go', 'VB')]
3.44.27	गच्छ	go	[('go', 'VB')]
2.24.36	गच्छ	go	[('go', 'VB')]
3.62.16	गच्छ	you may go	[('go', 'VB')]
1.70.11	गच्छ	go	[('go', 'VB')]
2.25.2	गच्छ	go	[('go', 'VB')]
2.34.50	गच्छ	you may go	[('go', 'VB')]
3.68.29	गच्छ	go	[('go', 'VB')]
3.40.23	गच्छ	go	[('go', 'VB')]
3.40.24	गच्छ	go	[('go', 'VB')]
1.24.3	गच्छ	go	[('go', 'VB')]
3.27.6	गच्छ	you may go	[('go', 'VB')]
3.8.11	गच्छ	you may go.	[('go.', 'VB')]
1.41.21	गच्छ	go back	[('go', 'VB')]
1.29.16	गच्छ	obtain	[('obtain', 'VB')]
2.107.17	गच्छ	go	[('go', 'VB')]
1.11.20	गच्छ	please go	[('go', 'VB')]
3.74.31	गच्छ	you may go.	[('go.', 'VB')]
1.60.17	गच्छ	go back	[('go', 'VB')]
2.107.15	गच्छ	go	[('go', 'VB')]
5.58.32	गच्छ	going	[('going', 'VBG')]
3.59.8	गच्छ गच्छ इति	go	[('go', 'VB')]
2.40.8	गच्छ गच्छ इति	exclaiming 'go	[('exclaiming', 'VBG')]
2.82.22	गच्छ त्वं	go	[('go', 'VB')]
2.48.27	गच्छत	go there.	[('go', 'VB')]
1.39.13	गच्छत	you may go	[('go', 'VB')]
3.54.20	गच्छत	you may go.	[('go.', 'VB')]
5.37.44	गच्छतः	when you go	[('go', 'VBP')]
4.36.10	गच्छतः	while going	[('going', 'VBG')]
2.59.4	गच्छतः	going	[('going', 'VBG')]
5.58.8	गच्छतः	while I was going	[('was', 'VBD'), ('going', 'VBG')]
2.37.5	गच्छतः	going away	[('going', 'VBG')]
2.37.33	गच्छतः	leaving	[('leaving', 'VBG')]
2.49.2	गच्छतः एव	thus travelling	[('travelling', 'VBG')]
1.77.32	गच्छता	set out	[('set', 'VBN')]
1.18.4	गच्छताम्	set out  for	[('set', 'VBN')]
2.41.5	गच्छति	is he going?	[('is', 'VBZ'), ('going?', 'VB')]
3.9.21	गच्छति	he goes	[('goes', 'VBZ')]
2.60.19	गच्छति	going	[('going', 'VBG')]
2.40.5	गच्छति	leaving for the forest	[('leaving', 'VBG')]
2.31.11	गच्छति	go	[('go', 'VB')]
2.41.3	गच्छति	is going?	[('is', 'VBZ')]
2.41.4	गच्छति	is he going?	[('is', 'VBZ'), ('going?', 'VB')]
2.33.16	गच्छति	is going	[('is', 'VBZ'), ('going', 'VBG')]
4.42.41	गच्छति	goes	[('goes', 'VBZ')]
2.33.22	गच्छति	is going	[('is', 'VBZ'), ('going', 'VBG')]
2.16.45	गच्छति	is to acquire	[('is', 'VBZ'), ('acquire', 'VB')]
2.100.55	गच्छति कच्चित्	is being spent I hope.	[('is', 'VBZ'), ('being', 'VBG'), ('spent', 'VBN'), ('hope.', 'VBP')]
4.1.117	गच्छति यदि	if  he goes	[('goes', 'VBZ')]
2.108.15	गच्छति यदि	if it reaches	[('reaches', 'VBZ')]
2.32.8	गच्छती	departing Sita	[('departing', 'VBG')]
2.37.36	गच्छतु	let go	[('go', 'VB')]
3.8.16	गच्छतु	may go	[('go', 'VB')]
5.53.3	गच्छतु	let go.	[('let', 'VB')]
2.8.33	गच्छतु	let go	[('go', 'VB')]
3.42.20	गच्छते	moved about.	[('moved', 'VBN')]
2.55.29	गच्छतोः	going like that	[('going', 'VBG')]
3.13.27	गच्छन्	while going	[('going', 'VBG')]
2.54.4	गच्छन्	going	[('going', 'VBG')]
5.4.9	गच्छन्	going	[('going', 'VBG')]
5.12.15	गच्छन्	going	[('going', 'VBG')]
4.59.14	गच्छन्	was going	[('was', 'VBD'), ('going', 'VBG')]
4.1.85	गच्छन्	while moving	[('moving', 'VBG')]
2.108.5	गच्छन्	while going	[('going', 'VBG')]
2.45.20	गच्छन्तमेव	thus going	[('going', 'VBG')]
3.51.23	गच्छन्तम्	while going	[('going', 'VBG')]
1.23.10	गच्छन्तम्	wending his way	[('wending', 'VBG')]
1.74.3	गच्छन्तम्	while going	[('going', 'VBG')]
2.12.106	गच्छन्तम्	while departing	[('departing', 'VBG')]
4.67.21	गच्छन्तम्	while I go	[('go', 'VBP')]
2.105.29	गच्छन्तम्	while passing	[('passing', 'VBG')]
2.42.18	गच्छन्तम्	walking	[('walking', 'VBG')]
2.3.30	गच्छन्तम्	proceeding	[('proceeding', 'VBG')]
4.1.127	गच्छन्तम्	as he went	[('went', 'VBD')]
2.33.16	गच्छन्तम्	departing	[('departing', 'VBG')]
2.105.20	गच्छन्ति	are passing	[('are', 'VBP'), ('passing', 'VBG')]
1.74.10	गच्छन्ति	went away	[('went', 'VBD')]
1.10.22	गच्छन्ति स्म	went away.	[('went', 'VBD')]
2.9.44	गच्छन्ती	walking	[('walking', 'VBG')]
5.19.7	गच्छन्तीमिव	as though she was moving.	[('was', 'VBD')]
4.55.11	गच्छन्तु	may go.	[('go.', 'VB')]
1.10.5	गच्छन्तु	let them go	[('let', 'VB'), ('go', 'VB')]
2.68.2	गच्छन्तु	let them go	[('let', 'VB'), ('go', 'VB')]
1.67.24	गच्छन्तु	may  go	[('go', 'VB')]
2.19.10	गच्छन्तु	let go.	[('let', 'VB')]
2.68.4	गच्छन्तु	let them go	[('let', 'VB'), ('go', 'VB')]
2.56.12	गच्छन्तौ	going	[('going', 'VBG')]
2.103.2	गच्छन्त्यः	while proceeding	[('proceeding', 'VBG')]
2.30.11	गच्छन्त्याः	going	[('going', 'VBG')]
2.99.8	गच्छन्नेव	while going	[('going', 'VBG')]
1.28.16	गच्छन्नेव	while walking	[('walking', 'VBG')]
1.27.26	गच्छन्नेव	while proceeding onwards	[('proceeding', 'VBG')]
2.99.4	गच्छन्नेव	while walking	[('walking', 'VBG')]
2.37.18	गच्छस्व	you may go	[('go', 'VB')]
4.52.14	गच्छाम	let us go	[('let', 'VB'), ('go', 'VB')]
2.117.4	गच्छाम	let us go	[('let', 'VB'), ('go', 'VB')]
5.64.21	गच्छाम	let us go	[('let', 'VB'), ('go', 'VB')]
2.46.21	गच्छाम	we shall go.	[('go.', 'VB')]
1.29.24	गच्छामहे	shall go तात O Child	[('go', 'VB')]
1.68.19	गच्छामहे	shall go	[('go', 'VB')]
2.113.14	गच्छामि	am going.	[('am', 'VBP')]
3.11.73	गच्छामि	I will go.	[('go.', 'VB')]
2.19.11	गच्छामि	will go.	[('go.', 'VB')]
3.42.4	गच्छामि	am going	[('am', 'VBP'), ('going', 'VBG')]
3.67.3	गच्छाव	will go	[('go', 'VB')]
3.41.20	गच्छाव	let us both go	[('let', 'VB'), ('go', 'VBP')]
