sloka	pada	english	verb_part	speech_part	word_count	verb_count
2.8.24	गुणवत्सु	possessing virtues	[('possessing', 'VBG')]	[[('possessing', 'VBG'), ('virtues', 'NNS')]]	2	1
1.5.23	गुणवद्भिः	endowed with virtues	[('endowed', 'VBN')]	[[('endowed', 'VBN'), ('with', 'IN'), ('virtues', 'NNS')]]	3	1
1.18.15	गुणवन्तः	endowed with every good quality	[('endowed', 'VBN')]	[[('endowed', 'VBN'), ('with', 'IN'), ('every', 'DT'), ('good', 'JJ'), ('quality', 'NN')]]	5	1
1.1.2	गुणवान्	endowed with excellent qualities	[('endowed', 'VBN')]	[[('endowed', 'VBN'), ('with', 'IN'), ('excellent', 'JJ'), ('qualities', 'NNS')]]	4	1
3.7.17	गुणवान्	is good	[('is', 'VBZ')]	[[('is', 'VBZ'), ('good', 'JJ')]]	2	1
2.3.41	गुणवान् असि	are virtuous	[('are', 'VBP')]	[[('are', 'VBP'), ('virtuous', 'JJ')]]	2	1
2.3.39	गुणश्रेष्ठः	having excellent virtues	[('having', 'VBG')]	[[('having', 'VBG'), ('excellent', 'JJ'), ('virtues', 'NNS')]]	3	1
2.118.4	गुणश्लाघ्यः	is worthy of applause for his virtues	[('is', 'VBZ')]	[[('is', 'VBZ'), ('worthy', 'JJ'), ('of', 'IN'), ('applause', 'NN'), ('for', 'IN'), ('his', 'PRP$'), ('virtues', 'NNS')]]	7	1
2.45.3	गुणसम्पन्नः	endowed with virtue of every kind	[('endowed', 'VBN')]	[[('endowed', 'VBN'), ('with', 'IN'), ('virtue', 'NN'), ('of', 'IN'), ('every', 'DT'), ('kind', 'NN')]]	6	1
2.12.10	गुणस्तवम्	extoling  virtues	[('extoling', 'VBG')]	[[('extoling', 'VBG'), ('virtues', 'NNS')]]	2	1
5.37.12	गुणाः	are virtues	[('are', 'VBP')]	[[('are', 'VBP'), ('virtues', 'NNS')]]	2	1
2.2.26	गुणाः सन्ति	are virtues indeed	[('are', 'VBP')]	[[('are', 'VBP'), ('virtues', 'NNS'), ('indeed', 'RB')]]	3	1
2.77.12	गुणाङ्गानि	virtues resulting one from the other	[('resulting', 'VBG')]	[[('virtues', 'NNS'), ('resulting', 'VBG'), ('one', 'CD'), ('from', 'IN'), ('the', 'DT'), ('other', 'JJ')]]	6	1
5.15.55	गुणाभिरामम्	embellished with virtues	[('embellished', 'VBN')]	[[('embellished', 'VBN'), ('with', 'IN'), ('virtues', 'NNS')]]	3	1
1.7.18	गुणोपेतैः	by those endowed with virtues	[('endowed', 'VBN')]	[[('by', 'IN'), ('those', 'DT'), ('endowed', 'VBN'), ('with', 'IN'), ('virtues', 'NNS')]]	5	1
2.100.50	गुप्तं कच्चित्	I trust is protected	[('trust', 'VBP'), ('is', 'VBZ'), ('protected', 'VBN')]	[[('I', 'PRP'), ('trust', 'VBP'), ('is', 'VBZ'), ('protected', 'VBN')]]	4	3
1.19.9	गुप्तः	protected	[('protected', 'VBN')]	[[('protected', 'VBN')]]	1	1
1.68.17	गुप्तः	protected	[('protected', 'VBN')]	[[('protected', 'VBN')]]	1	1
4.61.15	गुप्तः	protected	[('protected', 'VBN')]	[[('protected', 'VBN')]]	1	1
5.1.127	गुप्तपक्षसमग्रश्च	kept my wings intact	[('kept', 'VB')]	[[('kept', 'VB'), ('my', 'PRP$'), ('wings', 'NNS'), ('intact', 'JJ')]]	4	1
2.1.23	गुप्तमन्त्रः	one who counselled in secrecy	[('counselled', 'VBD')]	[[('one', 'CD'), ('who', 'WP'), ('counselled', 'VBD'), ('in', 'IN'), ('secrecy', 'NN')]]	5	1
1.21.9	गुप्तम्	protected	[('protected', 'VBN')]	[[('protected', 'VBN')]]	1	1
4.33.19	गुप्तम्	protected	[('protected', 'VBN')]	[[('protected', 'VBN')]]	1	1
2.21.9	गुप्तस्य	protected	[('protected', 'VBN')]	[[('protected', 'VBN')]]	1	1
5.2.33	गुप्ता	guarded	[('guarded', 'VBN')]	[[('guarded', 'VBN')]]	1	1
2.17.20	गुप्ताः	protected	[('protected', 'VBN')]	[[('protected', 'VBN')]]	1	1
5.3.3	गुप्ताम्	protected	[('protected', 'VBN')]	[[('protected', 'VBN')]]	1	1
5.36.24	गुप्ताम्	protected	[('protected', 'VBN')]	[[('protected', 'VBN')]]	1	1
4.58.24	गुप्तायाम्	protected	[('protected', 'VBN')]	[[('protected', 'VBN')]]	1	1
2.100.48	गुप्तिपरीहारैः	by affording protection and through prevention of adversities	[('affording', 'VBG')]	[[('by', 'IN'), ('affording', 'VBG'), ('protection', 'NN'), ('and', 'CC'), ('through', 'IN'), ('prevention', 'NN'), ('of', 'IN'), ('adversities', 'NNS')]]	8	1
2.111.2	गुरवः भवन्ति	become gurus	[('become', 'VB')]	[[('become', 'VB'), ('gurus', 'NN')]]	2	1
2.21.59	गुरुः हि	is preceptor	[('is', 'VBZ')]	[[('is', 'VBZ'), ('preceptor', 'NN')]]	2	1
1.22.21	गुरुकार्याणि	services  to be rendered in relation to a preceptor	[('be', 'VB'), ('rendered', 'VBN')]	[[('services', 'NNS'), ('to', 'TO'), ('be', 'VB'), ('rendered', 'VBN'), ('in', 'IN'), ('relation', 'NN'), ('to', 'TO'), ('a', 'DT'), ('preceptor', 'NN')]]	9	2
1.77.25	गुरुकार्याणि	duties towards Spiritual preceptors	[('towards', 'VBP')]	[[('duties', 'NNS'), ('towards', 'VBP'), ('Spiritual', 'JJ'), ('preceptors', 'NNS')]]	4	1
3.49.24	गुरुचित्तप्रसादक	who entertains the brothers mind	[('entertains', 'VBZ'), ('mind', 'VBP')]	[[('who', 'WP'), ('entertains', 'VBZ'), ('the', 'DT'), ('brothers', 'NNS'), ('mind', 'VBP')]]	5	2
4.57.6	गुरुजनप्रियः	loved by elders	[('loved', 'VBN')]	[[('loved', 'VBN'), ('by', 'IN'), ('elders', 'NNS')]]	3	1
3.9.3	गुरुतरौ	are of serious nature	[('are', 'VBP')]	[[('are', 'VBP'), ('of', 'IN'), ('serious', 'JJ'), ('nature', 'NN')]]	4	1
2.63.32	गुरुतल्पगं यथैव	like one who occupies the teachers bed	[('occupies', 'VBZ'), ('bed', 'VBD')]	[[('like', 'IN'), ('one', 'CD'), ('who', 'WP'), ('occupies', 'VBZ'), ('the', 'DT'), ('teachers', 'NNS'), ('bed', 'VBD')]]	7	2
2.75.45	गुरुतल्पगे	violation of the preceptors bed	[('bed', 'VBD')]	[[('violation', 'NN'), ('of', 'IN'), ('the', 'DT'), ('preceptors', 'NNS'), ('bed', 'VBD')]]	5	1
2.20.53	गुरुदुःखकर्शितः	tormented with deep grief	[('tormented', 'VBN')]	[[('tormented', 'VBN'), ('with', 'IN'), ('deep', 'JJ'), ('grief', 'NN')]]	4	1
2.31.16	गुरुपूजायाम्	in worshipping  the elders	[('worshipping', 'VBG')]	[[('in', 'IN'), ('worshipping', 'VBG'), ('the', 'DT'), ('elders', 'NNS')]]	4	1
5.16.3	गुरुप्रिया	loved by elders	[('loved', 'VBN')]	[[('loved', 'VBN'), ('by', 'IN'), ('elders', 'NNS')]]	3	1
2.64.44	गुरुभृतामपि	who nurture the venerable ones	[('nurture', 'VBP')]	[[('who', 'WP'), ('nurture', 'VBP'), ('the', 'DT'), ('venerable', 'JJ'), ('ones', 'NNS')]]	5	1
2.82.29	गुरुम्	esteemed brother	[('esteemed', 'VBN')]	[[('esteemed', 'VBN'), ('brother', 'NN')]]	2	1
2.99.25	गुरुम्	esteemed brother	[('esteemed', 'VBN')]	[[('esteemed', 'VBN'), ('brother', 'NN')]]	2	1
2.99.2	गुरुवत्सलः	devoted towards elders	[('devoted', 'VBN')]	[[('devoted', 'VBN'), ('towards', 'NNS'), ('elders', 'NNS')]]	3	1
2.103.32	गुरुवत्सलम्	to one devoted to elders	[('devoted', 'VBN')]	[[('to', 'TO'), ('one', 'CD'), ('devoted', 'VBN'), ('to', 'TO'), ('elders', 'NNS')]]	5	1
2.97.31	गुरुवर्तकम्	devoted the preceptor father	[('devoted', 'VBN')]	[[('devoted', 'VBN'), ('the', 'DT'), ('preceptor', 'NN'), ('father', 'NN')]]	4	1
5.16.3	गुरुविनीतस्य	welltrained	[('welltrained', 'VBN')]	[[('welltrained', 'VBN')]]	1	1
2.73.9	गुरुवृत्तिज्ञः	well aware of his duties towards elders	[('towards', 'VBP')]	[[('well', 'RB'), ('aware', 'JJ'), ('of', 'IN'), ('his', 'PRP$'), ('duties', 'NNS'), ('towards', 'VBP'), ('elders', 'NNS')]]	7	1
2.115.19	गुरुवृत्तिताम्	engaged in serving guru	[('engaged', 'VBN'), ('serving', 'VBG')]	[[('engaged', 'VBN'), ('in', 'IN'), ('serving', 'VBG'), ('guru', 'NN')]]	4	2
2.30.36	गुरुवृत्त्यनुरोधेन	fulfilling fathers desire	[('fulfilling', 'VBG'), ('desire', 'VBP')]	[[('fulfilling', 'VBG'), ('fathers', 'NNS'), ('desire', 'VBP')]]	3	2
1.60.25	गुरुशापपरिक्षतः	cursed by spiritual preceptor	[('cursed', 'VBN')]	[[('cursed', 'VBN'), ('by', 'IN'), ('spiritual', 'JJ'), ('preceptor', 'NN')]]	4	1
1.60.17	गुरुशापहतः	doomed by the curse of your spiritual preceptor	[('doomed', 'VBN')]	[[('doomed', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('curse', 'NN'), ('of', 'IN'), ('your', 'PRP$'), ('spiritual', 'JJ'), ('preceptor', 'NN')]]	8	1
3.74.9	गुरुशुश्रूषा	serving the preceptor	[('serving', 'VBG')]	[[('serving', 'VBG'), ('the', 'DT'), ('preceptor', 'NN')]]	3	1
2.13.23	गुरुश्रोणि	O one with heavy hips चारुमुखेक्षणे having charming eyes and a beautiful face	[('चारुमुखेक्षणे', 'VBP'), ('having', 'VBG'), ('charming', 'VBG')]	[[('O', 'NNP'), ('one', 'CD'), ('with', 'IN'), ('heavy', 'JJ'), ('hips', 'NNS'), ('चारुमुखेक्षणे', 'VBP'), ('having', 'VBG'), ('charming', 'VBG'), ('eyes', 'NNS'), ('and', 'CC'), ('a', 'DT'), ('beautiful', 'JJ'), ('face', 'NN')]]	13	3
2.99.13	गुरुसत्कारकारिणम्	rendering great hospitality	[('rendering', 'VBG')]	[[('rendering', 'VBG'), ('great', 'JJ'), ('hospitality', 'NN')]]	3	1
2.109.24	गुरौ	to father	[('father', 'VB')]	[[('to', 'TO'), ('father', 'VB')]]	2	1
2.50.40	गुहम्	to Guha	[('Guha', 'VB')]	[[('to', 'TO'), ('Guha', 'VB')]]	2	1
2.52.4	गुहम्	to Guha	[('Guha', 'VB')]	[[('to', 'TO'), ('Guha', 'VB')]]	2	1
2.52.65	गुहम्	to Guha	[('Guha', 'VB')]	[[('to', 'TO'), ('Guha', 'VB')]]	2	1
2.52.71	गुहम्	to Guha	[('Guha', 'VB')]	[[('to', 'TO'), ('Guha', 'VB')]]	2	1
2.85.3	गुहम्	to Guha	[('Guha', 'VB')]	[[('to', 'TO'), ('Guha', 'VB')]]	2	1
2.87.11	गुहम्	to Guha	[('Guha', 'VB')]	[[('to', 'TO'), ('Guha', 'VB')]]	2	1
2.52.7	गुहाय	to Guha	[('Guha', 'VB')]	[[('to', 'TO'), ('Guha', 'VB')]]	2	1
2.50.33	गुहो नाम	Guha by name	[('Guha', 'VBN')]	[[('Guha', 'VBN'), ('by', 'IN'), ('name', 'NN')]]	3	1
3.73.27	गुह्यम्	concealed	[('concealed', 'VBN')]	[[('concealed', 'VBN')]]	1	1
1.1.10	गूढजत्रुः	has fleshy collar bones	[('has', 'VBZ'), ('fleshy', 'VBN')]	[[('has', 'VBZ'), ('fleshy', 'VBN'), ('collar', 'JJ'), ('bones', 'NNS')]]	4	2
5.35.15	गूढजत्रुः	has round shoulders	[('has', 'VBZ')]	[[('has', 'VBZ'), ('round', 'NN'), ('shoulders', 'NNS')]]	3	1
5.20.2	गूहमाना	concealed	[('concealed', 'VBN')]	[[('concealed', 'VBN')]]	1	1
5.18.5	गूहितुम्	to hide	[('hide', 'VB')]	[[('to', 'TO'), ('hide', 'VB')]]	2	1
5.26.26	गृध्रमण्डलसङ्कुला	thronged with flocks of vultures	[('thronged', 'VBN')]	[[('thronged', 'VBN'), ('with', 'IN'), ('flocks', 'NNS'), ('of', 'IN'), ('vultures', 'NNS')]]	5	1
2.10.19	गृहगतः	having reached the apartment	[('having', 'VBG'), ('reached', 'VBN')]	[[('having', 'VBG'), ('reached', 'VBN'), ('the', 'DT'), ('apartment', 'NN')]]	4	2
1.22.12	गृहाण	take into your hands	[('take', 'VB')]	[[('take', 'VB'), ('into', 'IN'), ('your', 'PRP$'), ('hands', 'NNS')]]	4	1
1.27.20	गृहाण	you may receive	[('receive', 'VB')]	[[('you', 'PRP'), ('may', 'MD'), ('receive', 'VB')]]	3	1
2.79.5	गृहाण	you may receive	[('receive', 'VB')]	[[('you', 'PRP'), ('may', 'MD'), ('receive', 'VB')]]	3	1
2.12.114	गृहीतः	having grasped	[('having', 'VBG'), ('grasped', 'VBN')]	[[('having', 'VBG'), ('grasped', 'VBN')]]	2	2
2.91.45	गृहीतः	when taken hold of in their arms	[('taken', 'VBN')]	[[('when', 'WRB'), ('taken', 'VBN'), ('hold', 'NN'), ('of', 'IN'), ('in', 'IN'), ('their', 'PRP$'), ('arms', 'NNS')]]	7	1
3.13.27	गृहीतचापौ	holding bows	[('holding', 'VBG')]	[[('holding', 'VBG'), ('bows', 'NNS')]]	2	1
3.39.14	गृहीतधनुषम्	holding the bow	[('holding', 'VBG')]	[[('holding', 'VBG'), ('the', 'DT'), ('bow', 'NN')]]	3	1
3.9.26	गृहीतधनुषा	by one holding a bow	[('holding', 'VBG')]	[[('by', 'IN'), ('one', 'CD'), ('holding', 'VBG'), ('a', 'DT'), ('bow', 'NN')]]	5	1
2.96.21	गृहीतधनुषौ	by taking up the bows	[('taking', 'VBG')]	[[('by', 'IN'), ('taking', 'VBG'), ('up', 'RP'), ('the', 'DT'), ('bows', 'NNS')]]	5	1
2.100.57	गृहीतश्चैव	one who is arrested	[('is', 'VBZ'), ('arrested', 'VBN')]	[[('one', 'CD'), ('who', 'WP'), ('is', 'VBZ'), ('arrested', 'VBN')]]	4	2
1.48.24	गृहीतसमिधम्	carrying sacrificial fuel sticks	[('carrying', 'VBG')]	[[('carrying', 'VBG'), ('sacrificial', 'JJ'), ('fuel', 'NN'), ('sticks', 'NNS')]]	4	1
3.49.21	गृहीता	seized	[('seized', 'VBN')]	[[('seized', 'VBN')]]	1	1
1.28.2	गृहीतास्त्रः	having received these weapons	[('having', 'VBG'), ('received', 'VBN')]	[[('having', 'VBG'), ('received', 'VBN'), ('these', 'DT'), ('weapons', 'NNS')]]	4	2
3.44.11	गृहीतुकामम्	intending to catch him	[('intending', 'VBG'), ('catch', 'VB')]	[[('intending', 'VBG'), ('to', 'TO'), ('catch', 'VB'), ('him', 'PRP')]]	4	2
3.55.24	गृहीतुम्	to catch	[('catch', 'VB')]	[[('to', 'TO'), ('catch', 'VB')]]	2	1
2.37.21	गृहीते	was worn	[('was', 'VBD'), ('worn', 'VBN')]	[[('was', 'VBD'), ('worn', 'VBN')]]	2	2
5.30.32	गृहीते वा	or captured	[('captured', 'VBN')]	[[('or', 'CC'), ('captured', 'VBN')]]	2	1
1.73.37	गृहीतेषु	while accepting	[('accepting', 'VBG')]	[[('while', 'IN'), ('accepting', 'VBG')]]	2	1
3.22.20	गृहीतैः	took	[('took', 'VBD')]	[[('took', 'VBD')]]	1	1
1.37.29	गृहीत्वा	having received	[('having', 'VBG'), ('received', 'VBN')]	[[('having', 'VBG'), ('received', 'VBN')]]	2	2
1.38.20	गृहीत्वा	seizing hold of	[('seizing', 'VBG')]	[[('seizing', 'VBG'), ('hold', 'NN'), ('of', 'IN')]]	3	1
1.61.22	गृहीत्वा	having received	[('having', 'VBG'), ('received', 'VBN')]	[[('having', 'VBG'), ('received', 'VBN')]]	2	2
1.61.23	गृहीत्वा	having taken	[('having', 'VBG'), ('taken', 'VBN')]	[[('having', 'VBG'), ('taken', 'VBN')]]	2	2
1.62.21	गृहीत्वा	after securing	[('securing', 'VBG')]	[[('after', 'IN'), ('securing', 'VBG')]]	2	1
2.113.14	गृहीत्वा	taking	[('taking', 'VBG')]	[[('taking', 'VBG')]]	1	1
2.22.3	गृहीत्वा	after securing	[('securing', 'VBG')]	[[('after', 'IN'), ('securing', 'VBG')]]	2	1
2.36.19	गृहीत्वा	seizing	[('seizing', 'VBG')]	[[('seizing', 'VBG')]]	1	1
2.52.67	गृहीत्वा	accepting	[('accepting', 'VBG')]	[[('accepting', 'VBG')]]	1	1
2.69.21	गृहीत्वा	having touched with reverence	[('having', 'VBG'), ('touched', 'VBN')]	[[('having', 'VBG'), ('touched', 'VBN'), ('with', 'IN'), ('reverence', 'NN')]]	4	2
2.70.1	गृहीत्वा	having touched with reverence	[('having', 'VBG'), ('touched', 'VBN')]	[[('having', 'VBG'), ('touched', 'VBN'), ('with', 'IN'), ('reverence', 'NN')]]	4	2
2.78.19	गृहीत्वा	seizing	[('seizing', 'VBG')]	[[('seizing', 'VBG')]]	1	1
2.82.28	गृहीत्वा	grasping	[('grasping', 'VBG')]	[[('grasping', 'VBG')]]	1	1
3.15.9	गृहीत्वा	after taking hold	[('taking', 'VBG')]	[[('after', 'IN'), ('taking', 'VBG'), ('hold', 'NN')]]	3	1
3.20.18	गृहीत्वा	on taking	[('taking', 'VBG')]	[[('on', 'IN'), ('taking', 'VBG')]]	2	1
3.24.12	गृहीत्वा	taking	[('taking', 'VBG')]	[[('taking', 'VBG')]]	1	1
3.57.17	गृहीत्वा	on taking hold	[('taking', 'VBG')]	[[('on', 'IN'), ('taking', 'VBG'), ('hold', 'NN')]]	3	1
4.37.35	गृहीत्वा	having collected	[('having', 'VBG'), ('collected', 'VBN')]	[[('having', 'VBG'), ('collected', 'VBN')]]	2	2
5.18.14	गृहीत्वा	taking	[('taking', 'VBG')]	[[('taking', 'VBG')]]	1	1
5.28.18	गृहीत्वा	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
5.28.19	गृहीत्वा	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
5.36.4	गृहीत्वा	having received	[('having', 'VBG'), ('received', 'VBN')]	[[('having', 'VBG'), ('received', 'VBN')]]	2	2
5.37.52	गृहीत्वा	taking hold	[('taking', 'VBG')]	[[('taking', 'VBG'), ('hold', 'NN')]]	2	1
5.43.13	गृहीत्वा	after picking	[('picking', 'VBG')]	[[('after', 'IN'), ('picking', 'VBG')]]	2	1
5.57.36	गृहीत्वा	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
5.58.129	गृहीत्वा	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
5.60.4	गृहीत्वा	get	[('get', 'VB')]	[[('get', 'VB')]]	1	1
5.62.22	गृहीत्वा	took up	[('took', 'VBD')]	[[('took', 'VBD'), ('up', 'RP')]]	2	1
4.40.36	गृह्णन्ति	will be catching	[('be', 'VB'), ('catching', 'VBG')]	[[('will', 'MD'), ('be', 'VB'), ('catching', 'VBG')]]	3	2
1.72.12	गृह्णन्तु	let them take	[('let', 'VB'), ('take', 'VB')]	[[('let', 'VB'), ('them', 'PRP'), ('take', 'VB')]]	3	2
5.48.44	गृह्णन्तु	take	[('take', 'VB')]	[[('take', 'VB')]]	1	1
2.9.17	गृह्णीयाम् इति	shall receive	[('receive', 'VB')]	[[('shall', 'MD'), ('receive', 'VB')]]	2	1
1.17.26	गृह्णीयुः	could seize	[('seize', 'VB')]	[[('could', 'MD'), ('seize', 'VB')]]	2	1
1.17.27	गृह्णीयुः	could capture	[('capture', 'VB')]	[[('could', 'MD'), ('capture', 'VB')]]	2	1
5.30.29	गृह्णीयुः वा	may catch me	[('catch', 'VB')]	[[('may', 'MD'), ('catch', 'VB'), ('me', 'PRP')]]	3	1
1.75.27	गृह्णीष्व	take hold of	[('take', 'VB')]	[[('take', 'VB'), ('hold', 'NN'), ('of', 'IN')]]	3	1
1.41.21	गृह्य	taking	[('taking', 'VBG')]	[[('taking', 'VBG')]]	1	1
1.43.5	गृह्य	seizing	[('seizing', 'VBG')]	[[('seizing', 'VBG')]]	1	1
1.49.6	गृह्य	taking	[('taking', 'VBG')]	[[('taking', 'VBG')]]	1	1
1.75.2	गृह्य	bringing	[('bringing', 'VBG')]	[[('bringing', 'VBG')]]	1	1
2.3.33	गृह्य	clasping	[('clasping', 'VBG')]	[[('clasping', 'VBG')]]	1	1
2.36.25	गृह्य	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
2.84.10	गृह्य	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
3.26.18	गृह्य	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
3.51.22	गृह्य	took	[('took', 'VBD')]	[[('took', 'VBD')]]	1	1
3.51.27	गृह्य	having taken	[('having', 'VBG'), ('taken', 'VBN')]	[[('having', 'VBG'), ('taken', 'VBN')]]	2	2
3.54.5	गृह्य	taking	[('taking', 'VBG')]	[[('taking', 'VBG')]]	1	1
3.68.13	गृह्य	having picked up	[('having', 'VBG'), ('picked', 'VBN')]	[[('having', 'VBG'), ('picked', 'VBN'), ('up', 'RP')]]	3	2
3.69.32	गृह्य	taking	[('taking', 'VBG')]	[[('taking', 'VBG')]]	1	1
3.73.45	गृह्य	took	[('took', 'VBD')]	[[('took', 'VBD')]]	1	1
4.44.15	गृह्य	after taking	[('taking', 'VBG')]	[[('after', 'IN'), ('taking', 'VBG')]]	2	1
4.51.14	गृह्य	after taking	[('taking', 'VBG')]	[[('after', 'IN'), ('taking', 'VBG')]]	2	1
4.52.14	गृह्य	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
5.10.40	गृह्य	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
5.18.12	गृह्य	by holding	[('holding', 'VBG')]	[[('by', 'IN'), ('holding', 'VBG')]]	2	1
5.27.38	गृह्य	wearing	[('wearing', 'VBG')]	[[('wearing', 'VBG')]]	1	1
5.30.24	गृह्य	by holding	[('holding', 'VBG')]	[[('by', 'IN'), ('holding', 'VBG')]]	2	1
5.37.62	गृह्य	taking	[('taking', 'VBG')]	[[('taking', 'VBG')]]	1	1
5.38.30	गृह्य	took out	[('took', 'VBD')]	[[('took', 'VBD'), ('out', 'RP')]]	2	1
5.40.19	गृह्य	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
5.44.15	गृह्य	seized	[('seized', 'VBN')]	[[('seized', 'VBN')]]	1	1
5.51.23	गृह्य	after abducting	[('abducting', 'VBG')]	[[('after', 'IN'), ('abducting', 'VBG')]]	2	1
5.53.43	गृह्य	seizing	[('seizing', 'VBG')]	[[('seizing', 'VBG')]]	1	1
5.57.26	गृह्य	holding	[('holding', 'VBG')]	[[('holding', 'VBG')]]	1	1
5.58.153	गृह्य	took up	[('took', 'VBD')]	[[('took', 'VBD'), ('up', 'RP')]]	2	1
5.62.11	गृह्य	taking	[('taking', 'VBG')]	[[('taking', 'VBG')]]	1	1
5.67.12	गृह्य	took out	[('took', 'VBD')]	[[('took', 'VBD'), ('out', 'RP')]]	2	1
5.47.35	गृह्य इव	as he seizes	[('seizes', 'VBZ')]	[[('as', 'IN'), ('he', 'PRP'), ('seizes', 'VBZ')]]	3	1
5.58.101	गृह्यताम्	take	[('take', 'VB')]	[[('take', 'VB')]]	1	1
5.52.8	गृह्यन्ते	overpowered	[('overpowered', 'VBN')]	[[('overpowered', 'VBN')]]	1	1
5.1.184	गृह्यमाणायाम्	was held	[('was', 'VBD'), ('held', 'VBN')]	[[('was', 'VBD'), ('held', 'VBN')]]	2	2
5.22.33	गोकर्णीम्	who had cows ears	[('had', 'VBD')]	[[('who', 'WP'), ('had', 'VBD'), ('cows', 'NNS'), ('ears', 'NNS')]]	4	1
2.46.17	गोकुलाकुलतीरायाः	of that bank crowded with herds of cattle	[('crowded', 'VBD')]	[[('of', 'IN'), ('that', 'DT'), ('bank', 'NN'), ('crowded', 'VBD'), ('with', 'IN'), ('herds', 'NNS'), ('of', 'IN'), ('cattle', 'NNS')]]	8	1
5.21.30	गोचरम्	not found	[('found', 'VBN')]	[[('not', 'RB'), ('found', 'VBN')]]	2	1
5.13.64	गोचराः	creatures moving on earth	[('moving', 'VBG')]	[[('creatures', 'NNS'), ('moving', 'VBG'), ('on', 'IN'), ('earth', 'NN')]]	4	1
5.4.15	गोजिनाम्बरवाससः	robed in cowhides	[('robed', 'VBN')]	[[('robed', 'VBN'), ('in', 'IN'), ('cowhides', 'NNS')]]	3	1
1.72.21	गोदानम्	gifting of cows a ceremony duly initiating the marriage	[('initiating', 'VBG')]	[[('gifting', 'NN'), ('of', 'IN'), ('cows', 'NNS'), ('a', 'DT'), ('ceremony', 'NN'), ('duly', 'RB'), ('initiating', 'VBG'), ('the', 'DT'), ('marriage', 'NN')]]	9	1
1.72.23	गोदानम्	gifting away of cows	[('gifting', 'VBG')]	[[('gifting', 'VBG'), ('away', 'RB'), ('of', 'IN'), ('cows', 'NNS')]]	4	1
3.16.41	गोदावरीं नदीम्	to river Godavari	[('river', 'VB')]	[[('to', 'TO'), ('river', 'VB'), ('Godavari', 'NNP')]]	3	1
3.68.35	गोदावरीं नदीम्	to river Godavari	[('river', 'VB')]	[[('to', 'TO'), ('river', 'VB'), ('Godavari', 'NNP')]]	3	1
3.15.24	गोदावरीं नदीम् गत्वा	went to river Godavari	[('went', 'VBD'), ('river', 'VB')]	[[('went', 'VBD'), ('to', 'TO'), ('river', 'VB'), ('Godavari', 'NNP')]]	4	2
2.99.18	गोधाङ्गुलित्रैः	fingerguards made of skin of iguana	[('made', 'VBN')]	[[('fingerguards', 'NNS'), ('made', 'VBN'), ('of', 'IN'), ('skin', 'NN'), ('of', 'IN'), ('iguana', 'NN')]]	6	1
5.17.9	गोपादाः	with feet like cows hoofs	[('hoofs', 'VBP')]	[[('with', 'IN'), ('feet', 'NNS'), ('like', 'IN'), ('cows', 'NNS'), ('hoofs', 'VBP')]]	5	1
5.22.33	गोपादीम्	with cows hoof	[('hoof', 'VBP')]	[[('with', 'IN'), ('cows', 'NNS'), ('hoof', 'VBP')]]	3	1
1.20.5	गोप्ता	will protect	[('protect', 'VB')]	[[('will', 'MD'), ('protect', 'VB')]]	2	1
2.8.31	गोप्ता हि	surely going to protect	[('going', 'VBG'), ('protect', 'VB')]	[[('surely', 'RB'), ('going', 'VBG'), ('to', 'TO'), ('protect', 'VB')]]	4	2
2.69.8	गोमयह्रदे	pool filled with cow dung	[('filled', 'VBN')]	[[('pool', 'NN'), ('filled', 'VBN'), ('with', 'IN'), ('cow', 'NN'), ('dung', 'NN')]]	5	1
2.69.9	गोमयह्रदे	in the pool filled with cow dung	[('filled', 'VBN')]	[[('in', 'IN'), ('the', 'DT'), ('pool', 'NN'), ('filled', 'VBN'), ('with', 'IN'), ('cow', 'NN'), ('dung', 'NN')]]	7	1
5.17.9	गोमुखीः	cows face	[('face', 'VBP')]	[[('cows', 'NNS'), ('face', 'VBP')]]	2	1
2.49.11	गोयुतानूपाम्	cows abounding in marshy areas	[('abounding', 'VBG')]	[[('cows', 'NNS'), ('abounding', 'VBG'), ('in', 'IN'), ('marshy', 'JJ'), ('areas', 'NNS')]]	5	1
3.14.26	गोलाङ्गूलांश्च	playful roundbodied monkeys	[('roundbodied', 'VBD')]	[[('playful', 'JJ'), ('roundbodied', 'VBD'), ('monkeys', 'NNS')]]	3	1
2.54.28	गोलाङ्गूलानुचरितः	full of wandering apes	[('wandering', 'VBG')]	[[('full', 'JJ'), ('of', 'IN'), ('wandering', 'VBG'), ('apes', 'NNS')]]	4	1
