#,chapter_number,sloka_number,sloka,transliterated,vyakhya,translation,fn_text
,,,प्रथमः सर्गः ॥,,,First Canto,
1020,16,22,तरलभजलबिन्दूत्तंसितध्वान्तचक्र-प्रकटपुटकपङ्क्तिं व्योमवेशन्तवीथ्याः । विततकरनिवेशादुद्धरन्नर्कदन्ती नयति सरणिमग्रे चीनपिष्टारुणत्वम् ॥ २२ ॥,taralabhajalabindūttaṃsitadhvāntacakra-prakaṭapuṭakapaṅktiṃ vyomaveśantavīthyāḥ | vitatakaraniveśāduddharannarkadantī nayati saraṇimagre cīnapiṣṭāruṇatvam || 22 ||,अर्क एव दन्ती गजोऽग्रे सरणिं पद्धतिं चीनपिष्टं सिन्दूरस्तद्वदरुणत्वं नयति । तरलानि प्रभातप्रभावाच्चपलानि भानि तारास्तान्येव वर्णसन्निवेशाभ्यां जलबिन्दवस्तैरुत्तंसिता या ध्वान्तचक्रमेव प्रकटं पुटकपङ्क्तिर्न​लिनीदलावलिस्तामुद्धरन् । व्योमैव वेशन्तः सरस्तन्मार्गात् । कस्मात् । वितता ये करा रश्मयः करपुष्करं [च] तस्य निवेशात् ॥,"With its long ray-trunk, the elephant that is the sun uproots enveloping darkness, standing for a thicket of lotus leaves, studded with fragile starry dewdrops, turning the sky-lake’s expanse vermillion red in the process.","Elephants are adorned with vermilion, wherefore water turns red when they wade their trunks in it. ‘Puṭaka’, a rarely encountered Sanskrit word, means lotus leaf."
1021,16,23,कुर्वाणो निखिलं जगन्मुकुलितं मोहेन निद्रात्मना ध्वान्ताडम्बरकालकूटगरलापीडोऽरुणद्यो दिशः। त्व​न्मूर्त्यन्तरमर्यमा गिलति तं पश्याष्टमूर्ते यतो विस्रस्ता कणिका इवाधिनलिनं भृङ्गा रुजन्त्यध्वगान् ॥ २३ ॥,kurvāṇo nikhilaṃ jaganmukulitaṃ mohena nidrātmanā dhvāntāḍambarakālakūṭagaralāpīḍo'ruṇadyo diśaḥ | tvanmūrtyantaramaryamā gilati taṃ paśyāṣṭamūrte yato visrastā kaṇikā ivādhinalinaṃ bhṛṅgā rujantyadhvagān || 23 ||,निद्रारूपेण मोहेन सञ्ज्ञाभावेन जगत्सङ्कुचितं कुर्वाणो यो ध्वान्ताडम्बर एव कालकूटाख्यो गरलापीडो विषपुञ्जो दिशोऽरुणद्रुद्धवांस्तमन्धकारकालकूटमर्यमा सूर्यो गिलति । त्वन्मूर्त्यन्तरं तव कालकूटग्रसितुरष्टमी मूर्तिः । यतस्तमोविषाद्विस्रस्ताः पतिताः कणिका इव भ्रमराः पान्थान्व्यथयन्ति । रुजेर्भावकर्तृकत्वाभावात्कर्मणि षष्ठ्यभावः । अथवा त्वं कालकूटग्रसिता तव मूर्त्यन्तरमष्टमी मूर्तिः सूर्यस्तमोविषं नूनं निगिरति । भोजनावसरे कणाः पतन्ति । अष्टमूर्ते इति प्रकृतानुगुणमामन्त्रणम् ॥,"Look around, O Lord of eightfold form! The sun, one of your own forms, devours the dense darkness that had enveloped the directions, shutting the whole world down in a benumbing sleep like a flooding stream of the black Kalakuta venom, whose scattered drops, masquerading as bees within lotuses, torment the wayfarers.","The bees are fancied as drops of the Kālakūṭa poison that is darkness, which the Sun – one of Shiva’s eight forms – devoured in the manner of Shiva himself. The lethal nature of the bees, standing for drops of poison, is proved by their ability to bring about the death of lovelorn wayfarers, who cannot withstand their humming sound."
1022,16,24,हठत्रुट्यत्पङ्केरुहकुहरहेवाकविहर-द्विरेफालीलीलामधुरतरगीतिश्रुतिधिया । हृतो मन्दं मन्दं वहनहरिणेनाधिनलिनी-सनीडं प्रातस्त्यश्चरति​ मरुदुद्यत्परिमलः ॥ २४ ॥,haṭhatruṭyatpaṅkeruhakuharahevākavihara- dvirephālīlīlāmadhurataragītiśrutidhiyā | hṛto mandaṃ mandaṃ vahanahariṇenādhinalinī- sanīḍaṃ prātastyaścarati marududyatparimalaḥ || 24 ||,हठेन त्रुट्यन्ति फुल्लानि पङ्केरुहाणि तेषां कुहरे मध्ये विहरन्ती या द्विरेफाली तस्या मधुरतरा या गीतिर्गीतं तस्याः श्रुतिधीः श्रवणेच्छा तया हेतुभूतया नलिनीसमीपे पद्मिनी निकटे वाहमृगेण मन्दं मन्दं हृत इव मरुदुद्यन्सङ्क्रमन्परिमलो यस्य स वहति । मन्दो वहतीत्यर्थः । कालस्वभावसम्पन्ने मन्दवहने मृगस्वभावाद्गीतलुब्धेन वाहमृगेण मन्दहरणमुत्प्रेक्षितम् । प्रतीयमानोत्प्रेक्षेयम् ॥,"Enriched with fragrance, the early morning wind wanders in the vicinity of lotus ponds, borne so very slowly by his deer-mount, which is keen on listening to the sweet and carefree songs of the bee swarms loitering around leisurely in the interiors of lotuses that burst open all of a sudden.","The deer is regarded as the vehicle of wind, wherefore one of the Sanskrit words for wind is ‘mṛgavāhana’. Deer are often described in Sanskrit poetry as being attracted to music (e.g., ‘kalamagopikāgītākarṇanasukhitamṛgayūthe’, Vāsavadattā)."
1023,16,25,शान्ते मेदुरमेघमण्डलतुलाकारे तमोडम्बरे द्रागार्द्रीकृतसान्द्रचन्द्रदृषदि ध्वस्तेऽप्यपां दुर्दिने । अस्तं चित्रशिखण्डिनामपि गते तेजस्यहो सम्प्रति प्रस्तौति प्रतिसूर्यकान्तशिखरं नृत्तप्रसक्तिं शिखी ॥ २५ ॥,śānte medurameghamaṇḍalatulākāre tamoḍambare drāgārdrīkṛtasāndracandradṛṣadi dhvaste'pyapāṃ durdine | astaṃ citraśikhaṇḍināmapi gate tejasyaho samprati prastauti pratisūryakāntaśikharaṃ nṛttaprasaktiṃ śikhī || 25 ||,मेदुरं निबिडं यन्मेघमण्डलं तेन तुला यस्य स आकारो यस्य । मेघसमेऽन्धकारप्रपञ्चे शान्ते सति । आर्दीकृताः सान्द्रा बृहत्यश्चान्द्रदृषदश्चन्द्रकान्तशिला येन तस्मिन्नपां दुर्दिने जलप्रवाहे निवृत्तेऽपि। चित्रशिखण्डिनां सप्तर्षीणां विचित्राणां च तेजसि प्रकाशे दर्पे चास्तं गते सति । सर्वेषु सूर्यकान्तेषु शिखी अग्निर्म​यूरश्च नृत्ते ज्वलने नाट्ये च प्रसक्तिं प्रस्तौति । अपिशब्दो विरोधद्योतकः । मेघालोको दुर्दिनमन्यमयूरनाट्यं च मयूरनृत्तहेतुः । तदभावेऽपि नाट्यमित्याश्चर्यम् ॥,"How strange! Though the overpowering darkness, resembling a multitude of massive clouds, has cleared off; though the watery downpour that had made large moonstones wet has suddenly stopped, and though the dazzling display of colourful peacocks/the Saptarshi constellation has ended, the peacock/fire still dances ardently atop every sunstone.","An apparent contradiction effected through pun. The sight of clouds, the rainy season, and the dance of other peacocks are triggers for a peacock to dance; that a certain peacock (also 'fire', by pun) exhibited its dance in the absence of the reasons mentioned above makes the poet exclaim 'How strange!' (JR)."
1024,16,26,इतस्ततस्तरुणसरोजसौरभस्पृहाभ्रमद्भ्रमरभरः समीरणः । वहत्यसौ दधदिव धूमधूम्रतां प्रबोधनाद्रविमणिजातवेदसः ॥ २६ ॥,itastatastaruṇasarojasaurabhaspṛhābhramadbhramarabharaḥ samīraṇaḥ | vahatyasau dadhadiva dhūmadhūmratāṃ prabodhanādravimaṇijātavedasaḥ || 26 ||,तरुणः सरोजानां सौरभभरस्तद्विषयया स्पृहया भ्रमद्भ्रमरभरो यत्र स वायुरितस्ततो वहति । अतः सम्भाव्यते - सूर्यकान्ताग्नेर्ज्व​लनादर्थात्तस्य धूमेन धूम्रतां दधदिव। पद्मान्विकासयन्वायुर्वहतीत्यर्थः ।,"The breeze blows here and there, swarmed by bees roaming around in passionate pursuit of the perfume emanating from freshly-blown lotuses, as if it had turned smoky due to the kindling of fire in sunstones.",The swarming bees are likened to the smoke of the sunstone’s blazing fire. 
1025,16,27,उमारमण निद्रया विजहिहि क्षतिं चक्षुषां विकाससुखमश्नुतां सुचिरमत्र धामत्रयी । भवन्तमुपसेवितुं बहिरिहाञ्जलिव्यञ्जनं पुरन्दरपुरःसरः सुरजनो ननूदीक्षते ॥ २७ ॥,umāramaṇa nidrayā vijahihi kṣatiṃ cakṣuṣāṃ vikāsasukhamaśnutāṃ suciramatra dhāmatrayī | bhavantamupasevituṃ bahirihāñjalivyañjanaṃ purandarapuraḥsaraḥ surajano nanūdīkṣate || 27 ||,उमारमणेति प्रकृतानुगुणमामन्त्रणम् । निद्रया चक्षुषां क्षतिं सङ्कोचं त्वं विजहिहि त्यज । अत्र नेत्रेषु धामत्रयी सूर्यसोमाग्निरूपा विकासेन सुखमश्रुतां भजताम् । त्वां सेवितुमञ्जलीनां व्यञ्जनं प्रकाशनमेव चिह्नं यत्र । एवं कृत्वा इन्द्रमुखो देवजनो बहिरुदीक्षते ॥,"Uma’s Lovemate! Do not allow sleep to sully your (three) eyes any further. Let the triad of luminous beings enjoy long-lasting glory. Intent on rendering service unto you, the celestial tribe, led by Indra, waits outside with cupped hands as usual.","The three luminaries – sun, moon, and fire – constitute the three eyes of Shiva (JR)."
1026,16,28,त्रस्येद्यस्येक्षणदशशती वज्रनिष्पिध्यमाण-श्लिष्यद्गर्वासुरवरशिखारत्नरेणुच्छटाभ्यः । युद्धे सिद्धानवधिविजयोन्मेष एषोऽनिमेष-प्रष्ठस्तिष्ठत्यवनतशिराः सोऽलमुग्र त्वदग्रे ॥ २८ ॥,trasyedyasyekṣaṇadaśaśatī vajraniṣpidhyamāṇa-śliṣyadgarvāsuravaraśikhāratnareṇucchaṭābhyaḥ | yuddhe siddhānavadhivijayonmeṣa eṣo'nimeṣa-praṣṭhastiṣṭhatyavanataśirāḥ so'lamugra tvadagre || 28 ||,श्लिध्यन्सक्तो दर्पो येषां तेऽसुरवरास्तेषां शिखारत्नानि वज्रेण निष्पिष्यमाणानि तेषां रेणुच्छटाभ्यो यस्य सम्बन्धिनी नेत्रदशशती त्रस्येद्भीतिं भजेत् । यावतामसुराणां पिष्टेभ्यश्चूडारत्नेभ्य उत्थिताद्रजसः सहस्रसङ्ख्यान्यपि नेत्राणि भीतिं भजन्ति । तावन्तोऽसुरा येन हता इत्यर्थः । युद्धे सिद्धोऽनवधिरियत्तारहितो विजयोन्मेषो जयोल्लासो यस्य सोऽनिमेषाणां देवानां प्रष्ठोऽग्रणीस्त्वदग्रे नतशिरास्तिष्ठति । ब्रह्मादिसन्निधावपि प्रथममिन्द्रनिवेदनं प्रस्तूयमानवस्तुनि प्राधान्यात् ॥,"Ugra! This is Indra – foremost among the unwinking gods and ever victorious in war – standing prominently before you, his head bent down. He is the possessor of a thousand eyes, which cringe from the dust raised by the gems in the headgears of the haughty Asuras when his Vajra weapon smashes them","Though superior gods such as Brahma are also present among the visitors, the poet describes Indra first because of his contextual importance in the storyline that is about to unfold soon (JR)."
1027,16,29,सुरकरिमदस्रोतःप्रोतद्विरेफजटालता-सुहृदि दिविषत्केशा यस्य श्रयन्ति पदद्वये । रुचिसखनखश्रेणीयोगाच्छिरोमणिशारता-मिव स निवसन्नग्रे शक्रो मनागनुगृह्यताम् ॥ २९ ॥,surakarimadasrotaḥprotadvirephajaṭālatā-suhṛdi diviṣatkeśā yasya śrayanti padadvaye | rucisakhanakhaśreṇīyogācchiromaṇiśāratā-miva sa nivasannagre śakro manāganugṛhyatām || 29 ||,सुरकरिणो मदस्रोतसि प्रोता अनुषक्ता ये द्विरेफा भ्रमरास्तैर्जटालता जटासहितता तत्सुहृदि परिचिते यस्य पदद्वये रुचिसखा ये शक्र​सम्बन्धिनो नखास्तेषां श्रेणी तत्संयोगाद्दिविषत्केशाः सुरमूर्धजाः शिरोमणिरिव शारतां दधति । त्यक्तमौलिमणीनां प्रणमतां देवानां नखरश्मिव्याजात्पुनरपि मौलिमणियोग इव जायत इत्यर्थः । सोऽयं नमन्निन्द्रोऽनुगृह्यताम् । दृश्यतामित्यर्थः॥,"Here before you stands Indra - at whose feet, swarmed by bees adhering to the Celestial Elephant’s streaming ichor, the tresses of gods seem to be adorned with crest ornaments due to their contact with his gleaming toenails. Pray honour him with a slight glance",The gods bending down before Indra do so after taking off their crest ornaments but the glow of his toenails endows them with crest ornaments anew (JR).
1028,16,30,यस्याच्छमानसपथे विजिहीर्षयेव याता विमानपदवीं कति नो मरालाः। आवासतामरसनालमृणालवल्ली-मास्वाद्य वेतनमयाचितमाप्नुवन्ति ॥ ३० ॥,yasyācchamānasapathe vijihīrṣayeva yātā vimānapadavīṃ kati no marālāḥ| āvāsatāmarasanālamṛṇālavallī- māsvādya vetanamayācitamāpnuvanti || 30 ||,See under verse 16.31 below,See under verse 16.31 below,See under verse 16.31 below
1029,16,31,भक्त्यञ्चितं च घटिताञ्जलिसम्पुटं च त्वां स्तौति स स्तबकितं भगवन्यशोभिः । वाचा त्रयीकविरयं तिरयन्मुहूर्तं जीमूतगर्जितजिता रथराजहंसान् ॥ ३१ ॥ (युग्मम्),bhaktyañcitaṃ ca ghaṭitāñjalisampuṭaṃ ca tvāṃ stauti sa stabakitaṃ bhagavanyaśobhiḥ | vācā trayīkavirayaṃ tirayanmuhūrtaṃ jīmūtagarjitajitā ratharājahaṃsān || 31 || (yugmam),यस्य ब्रह्मणः सम्बन्धि अच्छं निर्मलं मानसं चित्तं सरोभेदश्च तत्पथे विहर्तुमिच्छयेव यस्य विमानपदवीं याताः कति नो मराला हंसा आवासोऽर्थाद्ब्रह्मण आश्रयस्तामरसं पद्मं तस्य नाले मृणालवल्लीमास्वाद्य चर्वयित्वायाचितमप्रार्थितं वेतनमर्थाद्वहनस्य भृतिमाप्नुवन्ति सोऽयं त्रयी वेदत्रयीकविता जीमूतानां मेघानां गर्जितं जयन्त्या वाचा त्वां स्तौति । यतो भक्त्यञ्चितं सभक्तिकं कृताञ्जलिपुटं च । स्तनिततुल्यत्वाद्रथराजहंसांस्तिरयन्नन्तर्हितान्कुर्वन् । यशोभिः स्तबकितं प्रसृतम्॥,"30 and 31. His hands cupped in supplication, Brahma, whose poetry is the triple Veda, sings your praises in devotion, O Lord of copious fame, causing the swans that pull his chariot to momentarily disappear with his deep voice that surpasses the rumble of clouds. Here he is. Desirous, as it were, of sporting in the precincts of his pure heart/Manasa lake, countless swans become his aerial cars and receive a salary which they never asked for: a chance to savour the filaments in the stem of his lotus abode ","According to Sanskrit poetic convention, swans dislike the rumble of clouds and feed on lotus filaments."
1030,16,32,निःष्यन्दमानमुकुटेन्दुसुधोर्मिसेका-त्सञ्जायमाननवसंविदनुप्रवेशम् । चत्वार्यमुष्य भव पश्य किरीटतस्ते पृच्छत्पदः किमपि पञ्चममुत्तमाङ्गम् ॥ ३२ ॥,niḥṣyandamānamukuṭendusudhormisekā-tsañjāyamānanavasaṃvidanupraveśam | catvāryamuṣya bhava paśya kirīṭataste pṛcchatpadaḥ kimapi pañcamamuttamāṅgam || 32 ||,भवेति प्रकृतानुगुणमामन्त्रणम् । त्वं पश्य । ते किरीटतो मुकुटादमुष्य ब्रह्मणः सम्बन्धि अदः पञ्चममुत्तमाङ्गं शिरश्चत्वारि शिरांसि किमपि पृच्छति । यतो निःष्यन्दमानः सुधास्रावी यो मुकुटेन्दुस्तस्य सुधोर्मिभिः सेकाद्धेतोः सञ्जायमानो नव: संविदश्चेतनाया अनुप्रवेशो यस्य । ब्रह्मसम्बन्धि पञ्चमशिरश्छित्त्वा हरेण स्वकिरीटे स्थापितमिति तस्य निर्जीवस्यामृतसेकात्पुनश्चेतना प्रविष्टेति तत्सगोत्रमुखचतुष्टयं वार्तां पृच्छतीति वाक्यार्थः॥,"Behold, O Bhava! Having attained consciousness afresh by being sprinkled with the ambrosia rippling forth from your crest-moon, Brahma’s fifth head asks something to the other four heads from your crown over here","Shiva lopped off Brahma’s fifth head and wore it as a head ornament. The poet describes a situation in which this lifeless head is animated with life by the ambrosia oozing from Shiva’s crest-moon and engages in a conversation with its past-life acquaintances, namely, the remaining four heads of Brahma (JR)."
1031,16,33,यः पादादमुचत्स्वविग्रहमहःसन्तानसीमन्तितां प्रागेवात्तकलिन्दजाजलपरीरम्भादिव स्वर्धुनीम् । स त्रैलोक्यविलङ्घनैकनिरघश्लाघो मघोनः सखा श्रीकण्ठ प्रणतिं चिरं चरणयोः पुष्णाति कृष्णस्तव ॥ ३३ ॥,yaḥ pādādamucatsvavigrahamahaḥsantānasīmantitāṃ prāgevāttakalindajājalaparīrambhādiva svardhunīm | sa trailokyavilaṅghanaikaniraghaślāgho maghonaḥ sakhā śrīkaṇṭha praṇatiṃ ciraṃ caraṇayoḥ puṣṇāti kṛṣṇastava || 33 ||,"हे श्रीकण्ठ, संसारस्य विलङ्घने बलिबन्धने एका निरघा निर्मला श्लाघा लोकवादो यस्य । यतो मघोनः सखा शक्रकार्यप्रवृत्तः, स कृष्णस्तव चरणयोः प्रणामं करोति । यः कृष्णः स्वर्धुनीं गङ्गां पादादमुचदमृजत् । अत एव स्वविग्रहस्य निजशरीरस्य महः सन्तानेनार्थात्कृष्णस्थेन सीमन्तितां विभक्ताम् । अतः प्रागेव प्रयागात्पूर्वमात्तः कलिन्दजाया यमुनाया जलेन परीरम्भः सङ्घटनं यया तामिव। स्वमहिमख्यापनार्थं यः पादान्नत्ववयवान्तराद्गङ्गां​ क्षिप्तवान्स पादयोः प्रणमतीति भङ्ग्या कृष्णभक्त्यतिशयो द्योतितः ॥","Srikantha! The dark-hued Vishnu, who, from his foot, released the celestial river Ganga, interspersed with the streaming lustre of his body, as if she had already been embraced by Yamuna’s bluish waters, prostrates before your feet at length. This friend of Indra is unmatched in the spotless fame which he earned by transcending the triple world (or 'by binding the Asura Bali')","‘Already’ = ‘even before reaching the confluence at Prayāga’; Vishnu, who released Ganga from his foot, himself falls at Shiva’s feet, thereby exhibiting the depth of his devotion (and the greater sacredness of Shiva's feet) (JR)."
1032,16,34,येनाङ्गेषु जगद्भरं कृतवता नोत्सार्यते मत्स्यता गृह्णानेन शुभान्तरङ्गपदवीं कूर्मीकृतो विग्रहः । सोऽयं कौतुककन्दलीजनयिता चन्द्रार्धमूर्धध्वज-ध्व(ज ध्व​)स्तारातिकुलोऽपि ते चरणयोर्नारायणो लीयते ॥ ३४ ॥,yenāṅgeṣu jagadbharaṃ kṛtavatā notsāryate matsyatā gṛhṇānena śubhāntaraṅgapadavīṃ kūrmīkṛto vigrahaḥ | so'yaṃ kautukakandalījanayitā candrārdhamūrdhadhvaja-dhva(ja dhva)stārātikulo'pi te caraṇayornārāyaṇo līyate || 34 ||,अङ्गेषु जगद्भरं कृतवता। कूर्मरूपत्वात् । येन मत्स्यता नोत्सार्यते मीनरूपत्वं न त्यज्यते। समुद्रान्तरे मत्स्यस्य तदापि भावात् । तथा शुभस्यान्तरङ्गा शुभकारिणी पदवी प्रकारस्तं गृह्णानेन येन विग्रहस्तनुः कूर्मीकृतः कमठीकृतः । कौतुकमेवोल्लासनस्वभावात्कन्दली तस्या जनयितोत्पादकः । विचित्ररूपग्रहणात् । ध्वस्तारातिकुलो जितारिवर्गोऽपि नारायणस्तव चरणयोर्लीयते । अङ्गेषु जनपदभेदेषु । मत्स्यानां जनपदान्तराणां भावः । तथा शुभां तरङ्गपदवीं गृह्णानेन कूर्मिः कुत्सित ऊर्मिर्यस्य स विग्रहः कृत इति च कौतुकम् ॥,"O Lord, who is characterized by the crescent moon adorning the crown! Narayana bore the burden of the world on his limbs without forsaking his piscine nature/placed the burden of the world on the Angas without making them lose their Matsya status; and  transformed himself into a tortoise/tiny ripple by resorting to an attitude of benevolence/ the path of majestic waves. A source of ever-increasing awe, he takes shelter/hides at your feet even though he has exterminated the enemy hordes.","The verse is characterized by three instances of apparent contradiction that are based on pun. Firstly, the Aṅgas and the Matsyas are two different provinces; the former cannot become the latter. Secondly, there is no reason for Vishnu to assume the form of a small ripple in the path of majestic waves. And lastly, someone who has exterminated his enemies doesn't need  to hide. The contradictions are solved by taking recourse to the alternative meanings of the words. Vishnu bears the burden of the globe on his back in his tortoise form although he simultaneously exists in his fish form too.  "
1033,16,35,यः प्रोल्लङ्घयति स्म तारकभुवं स्वर्वाहिनीनिर्गम-प्रोच्चण्डेन निरर्गलेन च रणोल्लासेन शक्त्येकभूः । आरूढः स भुजङ्गवैरिणमयं त्वद्द्वारि पारिप्लवः सेवावाप्तिधिया स्थितिं विवृणुते स्कन्दो मुकुन्दो यथा॥ ३५ ॥,yaḥ prollaṅghayati sma tārakabhuvaṃ svarvāhinīnirgama-proccaṇḍena nirargalena ca raṇollāsena śaktyekabhūḥ | ārūḍhaḥ sa bhujaṅgavairiṇamayaṃ tvaddvāri pāriplavaḥ sevāvāptidhiyā sthitiṃ vivṛṇute skando mukundo yathā|| 35 ||,"यः स्कन्दस्तारकस्यासुरविशेषस्य भुवं स्थानं प्रोल्ल(दल)ङ्घय​त् । केन । खर्वाहिन्याः सुरसेनाया निर्गमस्तेन प्रोच्चण्डेन दुःसहेन, तथा निरर्गलेन च सङ्ग्रामस्फारेण । शक्तेरायुधविशेषस्यैकभूः । सोऽयं स्कन्दः कुमारो भुजङ्गवैरिणं मयूरमारूढः पारिप्लवः सेवाक्षणान्वेषणचञ्चलस्त्वद्द्वारि स्थितिं विवृणुते करोति । मुकुन्दो यथा । हरिवत् । तत्पक्षे स्व​र्वाहिनी गङ्गा । चरण: पादः । तारकाणां भुवं स्थानम् । शक्ति: सामर्थ्यम् । भुजङ्गवैरिणं गरुडम् ॥","Intent on rendering service unto you, Skanda, like Vishnu, waits restlessly at your door, mounting his vehicle that is the foe of serpents. It was he - the sole possessor of the Shakti weapon/prowess – who conquered the realm of the Asura Taraka/stars with his indomitable wartime spirit/stride, made awe-inspiring by the issuing forth of the celestial army/Ganga.","The verse employs pun to compare Skanda with Vishnu, whose vehicles – the peacock and the divine bird Garuda respectively – are both enemies of serpents. Skanda’s spear is called 'Śakti'; the very purpose of his birth was to kill the Asura Taraka. The river Ganga sprang from Vishnu’s foot when he lifted it to the sky, the realm of stars. "
1034,16,36,अत्रैकादशधा विभक्तमपि ते रूपं भवानीं च यो द्रष्टुं तुल्यमिवातिवत्सलतया धत्ते दृशो द्वादश। सोऽयं तारकनायिकाकुचकचद्बाह्लीकपत्राङ्कुर-श्रेणीलुण्ठिकरस्तवास्तु भगवन्प्रीत्यै चिरं चक्षुषाम् ॥ ३६ ॥,atraikādaśadhā vibhaktamapi te rūpaṃ bhavānīṃ ca yo draṣṭuṃ tulyamivātivatsalatayā dhatte dṛśo dvādaśa| so'yaṃ tārakanāyikākucakacadbāhlīkapatrāṅkura-śreṇīluṇṭhikarastavāstu bhagavanprītyai ciraṃ cakṣuṣām || 36 ||,"अत्रास्मिन्स्थाने स्थितमेकादशधा विभक्तं तव रूपमेकादशरुद्रलक्षणम्, तथा भवानीं स्नेहवशाद्युगपद्द्रष्टुमिव द्वादश दृशो धत्ते । सोऽयं तारकस्यासुरस्य नायिकानां कुचेषु कुचन्तो ये बाह्लीकपत्राङ्कुराः कुङ्कुमपत्ररचनास्तच्छ्रेणीनां लुण्ठिर्लुण्ठनम् । वैधव्ये सति स्त्रीणां भूषणेष्वनुपपन्नत्वात्। प्रीत्यै हर्षाय चिरमस्तु । कुमारे दृष्टिपातं कुर्वित्यर्थः ॥","Holy One! May this stealer of the saffron designs that adorn the breasts of Taraka’s wives (i.e., Skanda) continuously gladden your (three) eyes. Overcome with intense filial affection, he boasts of twelve eyes to simultaneously behold, as it were, your elevenfold form along with Parvati (his mother).","‘Stealer of the saffron designs that adorn the breasts of Taraka’s wives’ is a roundabout way of saying that Skanda killed Taraka and made his wives widows. The 11 Rudras are forms of Shiva; their names differ in different places, one set of which is mentioned as follows in the Matsya Purāṇa (153.19, 20): ‘kapālī piṅgalo bhīmo virūpākṣo vilohitaḥ | ajeśaḥ śāsanaḥ śāstā śambhuścaṇḍo dhruvastathā || ete ekādaśānantabalā rudrāḥ’."
1035,16,37,यस्ते कुङ्कुमपङ्कपुण्ड्रकधुरामध्यास्य मध्येलिकं चक्रे पञ्चशरावरोधसुदृशो लीलानभिज्ञं वपुः । स स्वाहाहृदयेश्वरोऽत्र पुरतो दूरानतस्तुद्यते सद्यः पश्य गजाननेन करतः कीर्णैः पयःसीकरैः ॥ ३७ ॥,yaste kuṅkumapaṅkapuṇḍrakadhurāmadhyāsya madhyelikaṃ cakre pañcaśarāvarodhasudṛśo līlānabhijñaṃ vapuḥ | sa svāhāhṛdayeśvaro'tra purato dūrānatastudyate sadyaḥ paśya gajānanena karataḥ kīrṇaiḥ payaḥsīkaraiḥ || 37 ||,मध्येलिकं ललाटमध्ये कुङ्कमपङ्केन पुण्ड्रकं तिलकं तद्धुरामध्यास्याश्रित्य यः पञ्चशरावरोधसुदृश: कामान्तःपुरपुरन्ध्रे रतेर्वपुर्लीलानभिज्ञं चक्रे । वैधव्यदानात् । स स्वाहाया हृदयेश्वरः प्राणेशोऽग्निर्भक्त्या दूरानतो गणपतिना करसकाशात्कीर्णैर्जलकणैस्तुद्यते । अग्नेर्हि जलकणस्पर्शो विरुद्धः ॥,"Assuming the semblance of a saffron Tilaka mark in the centre of your forehead, Svaha’s Sweetheart deprived Kama’s pretty-eyed consort of all her physical charm. See how he (i.e., Fire) bends deep before you now, annoyed by Ganesha with jets of water emitted from his trunk.",Svaha's Sweetheart is the Fire God Agni.
1036,16,38,ज्वालामालाजटिलितवपुः पावकोऽसौ शरीरं विश्वेषामप्यहह महसा त्वद्गणानां दुनोति । तेऽप्येतस्य प्रबलविगलद्घ​र्मपाथस्तरङ्गै-रङ्गं भङ्गं खरतरशिखाटोपमारोपयन्ति ॥ ३८ ॥,jvālāmālājaṭilitavapuḥ pāvako'sau śarīraṃ viśveṣāmapyahaha mahasā tvadgaṇānāṃ dunoti | te'pyetasya prabalavigaladgharmapāthastaraṅgai-raṅgaṃ bhaṅgaṃ kharataraśikhāṭopamāropayanti || 38 ||,सर्वेषामपि त्वद्गणानां वपुरसौ पावको महसा तापेन दुनोति । यतो ज्वालामालाभिर्जटिलितं वपुर्यस्य । त्वद्दर्शनप्राप्तिहर्षात्ते त्वद्गणा अपि तत्तापवशात्प्रबलं विगलद्भिर्घर्मजलप्रवाहैरस्याग्नेरङ्गं ज्वालाभङ्गं समारोपयन्ति । खरतरोऽतिज्वालाडम्बरो यस्य ॥,"Alas! His body enmeshed in thick flames, Fire scorches the limbs of all your attendants with his heat. And they too, on their part, cripple his fiercely blazing form with a steady outpour of streaming sweat.",N/A
