YAJURVED	मन्त्रसंख्या				
415	10.19	10	19	415	प्र पर्वतस्य वृषभस्य पृष्ठान्नावश्चरन्ति स्वसिचऽइयानाः। ताऽआववृत्रन्नधरागुदक्ताऽअहिं बुध्न्यमनु रीयमाणाः। विष्णोर्विक्रमणमसि विष्णोर्विक्रान्तमसि विष्णोः क्रान्तमसि ॥१९॥
416	10.20	10	20	416	प्रजापते न त्वदेतान्यन्यो विश्वा रूपाणि परि ता बभूव। यत्कामास्ते जुहुमस्तन्नोऽअस्त्वयममुष्य पिताऽसावस्य पिता वयꣳ स्याम पतयो रयीणा स्वाहा। रुद्र यत्ते क्रिवि परं नाम तस्मिन् हुतमस्यमेष्टमसि स्वाहा ॥२०॥
417	10.21	10	21	417	इन्द्रस्य वज्रोऽसि मित्रावरुणयोस्त्वा प्रशास्त्रोः प्रशिषा युनज्मि। अव्यथायै त्वा स्वधायै त्वाऽरिष्टो अर्जुनो मरुतां प्रसवेन जयापाम मनसा समिन्द्रियेण ॥२१॥
418	10.22	10	22	418	मा तऽइन्द्र ते वयं तुराषाडयुक्तासोऽअब्रह्मता विदसाम। तिष्ठा रथमधि यं वज्रहस्ता रश्मीन् देव यमसे स्वश्वान् ॥२२॥
419	10.23	10	23	419	अग्नये गृहपतये स्वाहा सोमाय वनस्पतये स्वाहा मरुतामोजसे स्वाहेन्द्रस्येन्द्रियाय स्वाहा। पृथिवि मातर्मा मा हिꣳसीर्मोऽअहं त्वाम् ॥२३॥
420	10.24	10	24	420	हꣳसः शुचिषद् वसुरन्तरिक्षसद्धोता वेदिषदतिथिर्दुरोणसत्। नृषद्वरसदृतसद् व्योमसदब्जा गोजाऽऋतजाऽअद्रिजाऽऋतं बृहत् ॥२४॥
421	10.25	10	25	421	इयदस्यायुरस्यायुर्मयि धेहि युङ्ङसि वर्चोऽसि वर्चो मयि धेह्यूर्गस्यूर्जं मयि धेहि। इन्द्रस्य वां वीर्यकृतो बाहूऽअभ्युपावहरामि ॥२५॥
422	10.26	10	26	422	स्योनासि सुषदासि क्षत्रस्य योनिरसि। स्योनामासीद सुषदामासीद क्षत्रस्य योनिमासीद ॥२६॥
423	10.27	10	27	423	निषसाद धृतव्रतो वरुणः पस्त्यास्वा। साम्राज्याय सुक्रतुः ॥२७॥
424	10.28	10	28	424	अभिभूरस्येतास्ते पञ्च दिशः कल्पन्तां ब्रह्मँस्त्वं ब्रह्मासि सवितासि सत्यप्रसवो वरुणोऽसि सत्यौजाऽइन्द्रोऽसि विशौजा रुद्रोऽसि सुशेवः। बहुकार श्रेयस्कर भूयस्करेन्द्रस्य वज्रोऽसि तेन मे रध्य ॥२८॥
425	10.29	10	29	425	अग्निः पृथुर्धर्मणस्पतिर्जुषाणोऽअग्निः पृथुर्धर्मणस्पतिराज्यस्य वेतु स्वाहा। स्वाहाकृताः सूर्यस्य रश्मिभिर्यतध्वꣳ सजातानां मध्यमेष्ठ्याय ॥२९॥
426	10.30	10	30	426	सवित्रा प्रसवित्रा सरस्वत्या वाचा त्वष्ट्रा रूपैः पूष्णा पशुभिरिन्द्रेणास्मे बृहस्पतिना ब्रह्मणा वरुणेनौजसाऽग्निना तेजसा सोमेन राज्ञा विष्णुना दशम्या देवतया प्रसूतः प्रसर्पामि ॥३०॥
427	10.31	10	31	427	अश्विभ्यां पच्यस्व सरस्वत्यै पच्यस्वेन्द्राय सुत्राम्णे पच्यस्व। वायुःपूतः पवित्रेण प्रत्यङ्क्सोमो अतिस्रुतः। इन्द्रस्य युज्यः सखा ॥३१॥
428	10.32	10	32	428	कुविदङ्ग यवमन्तो यवं चिद्यथा दान्त्यनुपूर्वं वियूय। इहेहैषां कृणुहि भोजनानि ये बर्हिषो नमउक्तिं यजन्ति। उपयामगृहीतोऽस्यश्विभ्यां त्वा सरस्वत्यै त्वेन्द्राय त्वा सुत्राम्णे ॥३२॥
429	10.33	10	33	429	युवꣳ सुराममश्विना नमुचावासुरे सचा। विपिपाना शुभस्पतीऽइन्द्रं कर्मस्वावतम् ॥३३॥
430	10.34	10	34	430	पुत्रमिव पितरावश्विनोभेन्द्रावथुः काव्यैर्दꣳसनाभिः। यत्सुरामं व्यपिबः शचीभिः सरस्वती त्वा मघवन्नभिष्णक् ॥३४॥
431	11.1	11	1	431	युञ्जानः प्रथमं मनस्तत्त्वाय सविता धियः। अग्नेर्ज्योतिर्निचाय्य पृथिव्याऽअध्याभरत् ॥१ ॥
432	11.2	11	2	432	युक्तेन मनसा वयं देवस्य सवितुः सवे। स्वर्ग्याय शक्त्या ॥२ ॥
433	11.3	11	3	433	युक्त्वाय सविता देवान्त्स्वर्यतो धिया दिवम्। बृहज्ज्योतिः करिष्यतः सविता प्रसुवाति तान् ॥३ ॥
434	11.4	11	4	434	युञ्जते मनऽउत युञ्जते धियो विप्रा विप्रस्य बृहतो विपश्चितः। वि होत्रा दधे वयुनाविदेकऽइन्मही देवस्य सवितुः परिष्टुतिः ॥४ ॥
435	11.5	11	5	435	युजे वां ब्रह्म पूर्व्यं नमोभिर्वि श्लोकऽएतु पथ्येव सूरेः। शृण्वन्तु विश्वेऽअमृतस्य पुत्राऽआ ये धामानि दिव्यानि तस्थुः ॥५ ॥
436	11.6	11	6	436	यस्य प्रयाणमन्वन्यऽइद्ययुर्देवा देवस्य महिमानमोजसा। यः पार्थिवानि विममे सऽएतशो रजासि देवः सविता महित्वना ॥६ ॥
437	11.7	11	7	437	देव सवितः प्रसुव यज्ञं प्रसुव यज्ञपतिं भगाय। दिव्यो गन्धर्वः केतपूः केतन्नः पुनातु वाचस्पतिर्वाचं नः स्वदतु ॥७ ॥
438	11.8	11	8	438	इमं नो देव सवितर्यज्ञं प्रणय देवाव्यꣳ सखिविदꣳ सत्राजितं धनजितꣳ स्वर्जितम्। ऋचा स्तोमꣳ समर्धय गायत्रेण रथन्तरं बृहद् गायत्रवर्त्तनि स्वाहा ॥८ ॥
439	11.9	11	9	439	देवस्य त्वा सवितुः प्रसवेऽश्विनोर्बाहुभ्यां पूष्णो हस्ताभ्याम्। आददे गायत्रेण छन्दसाङ्गिरस्वत् पृथिव्याः सधस्थादग्निं पुरीष्यमङ्गिरस्वदाभर त्रैष्टुभेन छन्दसाङ्गिरस्वत् ॥९ ॥
440	11.10	11	10	440	अभ्रिरसि नार्यसि त्वया वयमग्निꣳ शकेम खनितुꣳ सधस्थ आ। जागतेन छन्दसाङ्गिरस्वत् ॥१० ॥
441	11.11	11	11	441	हस्तऽआधाय सविता बिभ्रदभ्रिꣳ हिरण्ययीम्। अग्नेर्ज्योतिर्निचाय्य पृथिव्याऽअध्याभरदानुष्टुभेन छन्दसाङ्गिरस्वत् ॥११ ॥
442	11.12	11	12	442	प्रतूर्त्तं वाजिन्नाद्रव वरिष्ठामनु संवतम्। दिवि ते जन्म परममन्तरिक्षे तव नाभिः पृथिव्यामधि योनिरित् ॥१२ ॥
443	11.13	11	13	443	युञ्जाथा रासभं युवमस्मिन् यामे वृषण्वसू। अग्निं भरन्तमस्मयुम् ॥१३ ॥
444	11.14	11	14	444	योगेयोगे तवस्तरं वाजेवाजे हवामहे। सखायऽइन्द्रमूतये ॥१४ ॥
445	11.15	11	15	445	प्रतूर्वन्नेह्यवक्रामन्नशस्ती रुद्रस्य गाणपत्यं मयोभूरेहि। उर्वन्तरिक्षं वीहि स्वस्तिगव्यूतिरभयानि कृण्वन् पूष्णा सयुजा सह ॥१५ ॥
446	11.16	11	16	446	पृथिव्याः सधस्थादग्निं पुरीष्यमङ्गिरस्वदाभराग्निं पुरीष्यमङ्गिरस्वदच्छेमोऽग्निं पुरीष्यमङ्गिरस्वद्भरिष्यामः ॥१६ ॥
447	11.17	11	17	447	अन्वग्निरुषसामग्रमख्यदन्वहानि प्रथमो जातवेदाः। अनु सूर्यस्य पुरुत्रा च रश्मीननु द्यावापृथिवीऽआततन्थ ॥१७ ॥
448	11.18	11	18	448	आगत्य वाज्यध्वानꣳ सर्वा मृधो विधूनुते। अग्निꣳ सधस्थे महति चक्षुषा निचिकीषते ॥१८ ॥
449	11.19	11	19	449	आक्रम्य वाजिन् पृथिवीमग्निमिच्छ रुचा त्वम्। भूम्या वृत्वाय नो ब्रूहि यतः खनेम तं वयम् ॥१९ ॥
450	11.20	11	20	450	द्यौस्ते पृष्ठं पृथिवी सधस्थमात्मान्तरिक्षꣳ समुद्रो योनिः। विख्याय चक्षुषा त्वमभि तिष्ठ पृतन्यतः ॥२० ॥
451	11.21	11	21	451	उत्क्राम महते सौभगायास्मादास्थानाद् द्रविणोदा वाजिन्। वयꣳ स्याम सुमतौ पृथिव्याऽअग्निं खनन्तऽउपस्थेऽअस्याः ॥२१ ॥
452	11.22	11	22	452	उदक्रमीद् द्रविणोदा वाज्यर्वाकः सुलोकꣳ सुकृतं पृथिव्याम्। ततः खनेम सुप्रतीकमग्निꣳ स्वो रुहाणाऽअधि नाकमुत्तमम् ॥२२ ॥
453	11.23	11	23	453	आ त्वा जिघर्मि मनसा घृतेन प्रतिक्षियन्तं भुवनानि विश्वा। पृथुं तिरश्चा वयसा बृहन्तं व्यचिष्ठमन्नै रभसं दृशानम् ॥२३ ॥
454	11.24	11	24	454	आ विश्वतः प्रत्यञ्चं जिघर्म्यरक्षसा मनसा तज्जुषेत। मर्य्यश्रीः स्पृहयद्वर्णोऽअग्निर्नाभिमृशे तन्वा जर्भुराणः ॥२४ ॥
455	11.25	11	25	455	परि वाजपतिः कविरग्निर्हव्यान्यक्रमीत्। दधद् रत्नानि दाशुषे ॥२५ ॥
456	11.26	11	26	456	परि त्वाग्ने पुरं वयं विप्रꣳ सहस्य धीमहि। धृषद्वर्णं दिवेदिवे हन्तारं भङ्गुरावताम् ॥२६ ॥
457	11.27	11	27	457	त्वमग्ने द्युभिस्त्वमाशुशुक्षणिस्त्वमद्भ्यस्त्वमश्मनस्परि। त्वं वनेभ्यस्त्वमोषधीभ्यस्त्वं नृणां नृपते जायसे शुचिः ॥२७ ॥
458	11.28	11	28	458	देवस्य त्वा सवितुः प्रसवेऽश्विनोर्बाहुभ्यां पूष्णो हस्ताभ्याम्। पृथिव्याः सधस्थादग्निं पुरीष्यमङ्गिरस्वत् खनामि। ज्योतिष्मन्तं त्वाग्ने सुप्रतीकमजस्रेण भानुना दीद्यतम्। शिवं प्रजाभ्योऽहिꣳसन्तं पृथिव्याः सधस्थादग्निं पुरीष्यमङ्गिरस्वत् खनामः ॥२८ ॥
459	11.29	11	29	459	अपां पृष्ठमसि योनिरग्नेः समुद्रमभितः पिन्वमानम्। वर्धमानो महाँ२ऽआ च पुष्करे दिवो मात्रया वरिम्णा प्रथस्व ॥२९ ॥
460	11.30	11	30	460	शर्म च स्थो वर्म च स्थोऽछिद्रे बहुलेऽउभे। व्यचस्वती संवसाथां भृतमग्निं पुरीष्यम् ॥३० ॥
461	11.31	11	31	461	संवसाथास्वर्विदा समीचीऽउरसा त्मना। अग्निमन्तर्भरिष्यन्ती ज्योतिष्मन्तमजस्रमित् ॥३१ ॥
462	11.32	11	32	462	पुरीष्योऽसि विश्वभराऽअथर्वा त्वा प्रथमो निरमन्थदग्ने। त्वामग्ने पुष्करादध्यथर्वा निरमन्थत ॥ मूर्ध्नो विश्वस्य वाघतः ॥३२ ॥
463	11.33	11	33	463	तमु त्वा दध्यङ्ङृषिः पुत्रऽईधेऽअथर्वणः। वृत्रहणं पुरन्दरम् ॥३३ ॥
464	11.34	11	34	464	तमु त्वा पाथ्यो वृषा समीधे दस्युहन्तमम्। धनञ्जयꣳ रणेरणे ॥३४ ॥
465	11.35	11	35	465	सीद होतः स्वऽउ लोके चिकित्वान्त्सादया यज्ञꣳ सुकृतस्य योनौ। देवावीर्देवान् हविषा यजास्यग्ने बृहद्यजमाने वयो धाः ॥३५ ॥
466	11.36	11	36	466	नि होता होतृषदने विदानस्त्वेषो दीदिवाँ२ऽअसदत् सुदक्षः। अदब्धव्रतप्रमतिर्वसिष्ठः सहस्रम्भरः शुचिजिह्वोऽअग्निः ॥३६ ॥
467	11.37	11	37	467	सꣳसीदस्व महाँ२ऽअसि शोचस्व देववीतमः। वि धूममग्नेऽअरुषं मियेध्य सृज प्रशस्त दर्शतम् ॥३७ ॥
468	11.38	11	38	468	अपो देवीरुपसृज मधुमतीरयक्ष्माय प्रजाभ्यः। तासामास्थानादुज्जिहतामोषधयः सुपिप्पलाः ॥३८ ॥
469	11.39	11	39	469	सं ते वायुर्मातरिश्वा दधातूत्तानाया हृदयं यद्विकस्तम्। यो देवानां चरसि प्राणथेन कस्मै देव वषडस्तु तुभ्यम् ॥३९ ॥
470	11.40	11	40	470	सुजातो ज्योतिषा सह शर्म वरूथमासदत् स्वः। वासोऽअग्ने विश्वरूपꣳ संव्ययस्व विभावसो ॥४० ॥
471	11.41	11	41	471	उदु तिष्ठ स्वध्वरावा नो देव्या धिया। दृशे च भासा बृहता सुशुक्वनिराग्ने याहि सुशस्तिभिः ॥४१ ॥
472	11.42	11	42	472	ऊर्ध्वऽऊ षु णऽऊतये तिष्ठा देवो न सविता। ऊर्ध्वो वाजस्य सनिता यदञ्जिभिर्वाघद्भिर्विह्वयामहे ॥४२ ॥
473	11.43	11	43	473	स जातो गर्भोऽअसि रोदस्योरग्ने चारुर्विभृतऽओषधीषु। चित्रः शिशुः परि तमास्यक्तून् प्र मातृभ्योऽअधि कनिक्रदद् गाः ॥४३ ॥
474	11.44	11	44	474	स्थिरो भव वीड्वङ्गऽआशुर्भव वाज्यर्वन्। पृथुर्भव सुषदस्त्वमग्नेः पुरीषवाहणः ॥४४ ॥
475	11.45	11	45	475	शिवो भव प्रजाभ्यो मानुषीभ्यस्त्वमङ्गिरः। मा द्यावापृथिवीऽअभि शोचीर्मान्तरिक्षं मा वनस्पतीन् ॥४५ ॥
476	11.46	11	46	476	प्रैतु वाजी कनिक्रदन्नानदद्रासभः पत्वा। भरन्नग्निं पुरीष्यं मा पाद्यायुषः पुरा। वृषाग्निं वृषणं भरन्नपां गर्भꣳ समुद्रियम्। अग्नऽआयाहि वीतये ॥४६ ॥
477	11.47	11	47	477	ऋतꣳ सत्यमृतꣳ सत्यमग्निं पुरीष्यमङ्गिरस्वद्भरामः। ओषधयः प्रतिमोदध्वमग्निमेतꣳ शिवमायन्तमभ्यत्र युष्माः। व्यस्यन् विश्वाऽअनिराऽअमीवा निषीदन्नोऽअप दुर्मतिं जहि ॥४७ ॥
478	11.48	11	48	478	ओषधयः प्रतिगृभ्णीत पुष्पवतीः सुपिप्पलाः। अयं वो गर्भऽऋत्वियः प्रत्नꣳ सधस्थमासदत् ॥४८ ॥
479	11.49	11	49	479	वि पाजसा पृथुना शोशुचानो बाधस्व द्विषो रक्षसोऽअमीवाः। सुशर्मणो बृहतः शर्मणि स्यामग्नेरहꣳ सुहवस्य प्रणीतौ ॥४९ ॥
480	11.50	11	50	480	आपो हि ष्ठा मयोभुवस्ता नऽऊर्जे दधातन। महे रणाय चक्षसे ॥५० ॥
481	11.51	11	51	481	यो वः शिवतमो रसस्तस्य भाजयतेह नः। उशतीरिव मातरः ॥५१ ॥
482	11.52	11	52	482	तस्माऽअंर गमाम वो यस्य क्षयाय जिन्वथ। आपो जनयथा च नः ॥५२ ॥
483	11.53	11	53	483	मित्रः सꣳसृज्य पृथिवीं भूमिं च ज्योतिषा सह। सुजातं जातवेदसमयक्ष्माय त्वा सꣳसृजामि प्रजाभ्यः ॥५३ ॥
484	11.54	11	54	484	रुद्राः सꣳसृज्य पृथिवीं बृहज्ज्योतिः समीधिरे। तेषां भानुरजस्रऽइच्छुक्रो देवेषु रोचते ॥५४ ॥
485	11.55	11	55	485	सꣳसृष्टां वसुभी रुद्रैर्धीरैः कर्मण्यां मृदम्। हस्ताभ्यां मृद्वीं कृत्वा सिनीवाली कृणोतु ताम् ॥५५ ॥
486	11.56	11	56	486	सिनीवाली सुकपर्दा सुकुरीरा स्वौपशा। सा तुभ्यमदिते मह्योखां दधातु हस्तयोः ॥५६ ॥
487	11.57	11	57	487	उखां कृणोतु शक्त्या बाहुभ्यामदितिर्धिया। माता पुत्रं यथोपस्थे साग्निं बिभर्त्तु गर्भऽआ। मखस्य शिरोऽसि ॥५७ ॥
488	11.58	11	58	488	वसवस्त्वा कृण्वन्तु गायत्रेण छन्दसाऽङ्गिरस्वद् ध्रुवासि पृथिव्यसि धारया मयि प्रजा रायस्पोषं गौपत्यꣳ सुवीर्यꣳ सजातान् यजमानाय रुद्रास्त्वा कृण्वन्तु त्रैष्टुभेन छन्दसाऽङ्गिरस्वद् ध्रुवास्यन्तरिक्षमसि धारया मयि प्रजा रायस्पोषं गौपत्यꣳ सुवीर्यꣳ सजातान् यजमानायाऽऽदित्यास्त्वा कृण्वन्तु जागतेन छन्दसाऽङ्गिरस्वद् ध्रुवासि द्यौरसि धारया मयि प्रजा रायस्पोषं गौपत्यꣳ सुवीर्यꣳ सजातान् यजमानाय विश्वे त्वा देवाः वैश्वानराः कृण्वन्त्वानुष्टुभेन छन्दसाऽङ्गिरस्वद् ध्रुवासि दिशोऽसि धारया मयि प्रजा रायस्पोषं गौपत्यꣳ सुवीर्यꣳ सजातान् यजमानाय ॥५८ ॥
489	11.59	11	59	489	अदित्यै रास्नास्यदितिष्टे बिलं गृभ्णातु। कृत्वाय सा महीमुखां मृन्मयीं योनिमग्नये। पुत्रेभ्यः प्रायच्छददितिः श्रपयानिति ॥५९ ॥
490	11.60	11	60	490	वसवस्त्वा धूपयन्तु गायत्रेण छन्दसाङ्गिरस्वद् रुद्रास्त्वा धूपयन्तु त्रैष्टुभेन छन्दसाङ्गिरस्वदादित्यास्त्वा धूपयन्तु जागतेन छन्दसाङ्गिरस्वद् विश्वे त्वा देवा वैश्वानरा धूपयन्त्वानुष्टुभेन छन्दसाङ्गिरस्वदिन्द्रस्त्वा धूपयतु वरुणस्त्वा धूपयतु विष्णुस्त्वा धूपयतु ॥६० ॥
491	11.61	11	61	491	अदितिष्ट्वा देवी विश्वदेव्यावती पृथिव्याः सधस्थेऽअङ्गिरस्वत् खनत्ववट देवानां त्वा पत्नीर्देवीर्विश्वदेव्यावतीः पृथिव्याः सधस्थेऽअङ्गिरस्वद् दधतूखे धिषणास्त्वा देवीर्विश्वदेव्यावतीः पृथिव्याः सधस्थेऽअङ्गिरस्वदभीन्धतामुखे वरूत्रीष्ट्वा देवीर्विश्वदेव्यावतीः पृथिव्याः सधस्थेऽअङ्गिरस्वच्छ्रपयन्तूखे ग्नास्त्वा देवीर्विश्वदेव्यावतीः पृथिव्याः सधस्थेऽअङ्गिरस्वत् पचन्तूखे जनयस्त्वाऽछिन्नपत्रा देवीर्विश्वदेव्यावतीः पृथिव्याः सधस्थेऽअङ्गिरस्वत् पचन्तूखे ॥६१ ॥
492	11.62	11	62	492	मित्रस्य चर्षणीधृतोऽवो देवस्य सानसि। द्युम्नं चित्रश्रवस्तमम् ॥६२ ॥
493	11.63	11	63	493	देवस्त्वा सवितोद्वपतु सुपाणिः स्वङ्गुरिः सुबाहुरुत शक्त्या। अव्यथमाना पृथिव्यामाशा दिशऽआपृण ॥६३ ॥
494	11.64	11	64	494	उत्थाय बृहती भवोदु तिष्ठ ध्रुवा त्वम्। मित्रैतां तऽउखां परि ददाम्यभित्याऽएषा मा भेदि ॥६४ ॥
495	11.65	11	65	495	वसवस्त्वाऽऽछृन्दन्तु गायत्रेण छन्दसाऽङ्गिरस्वद् रुद्रास्त्वाऽऽछृन्दन्तु त्रैष्टुभेन छन्दसाऽङ्गिरस्वदादित्यास्त्वाऽऽछृन्दन्तु जागतेन छन्दसाऽङ्गिरस्वद् विश्वे त्वा देवा वैश्वानराऽऽआछृन्दन्त्वानुष्टुभेन छन्दसाऽङ्गिरस्वत् ॥६५ ॥
496	11.66	11	66	496	आकूतिमग्निं प्रयुजꣳ स्वाहा मनो मेधामग्निं प्रयुजꣳ स्वाहा चित्तं विज्ञातमग्निं प्रयुजꣳ स्वाहा वाचो विधृतिमग्निं प्रयुजꣳ स्वाहा प्रजापतये मनवे स्वाहाऽग्नये वैश्वानराय स्वाहा ॥६६ ॥
497	11.67	11	67	497	विश्वो देवस्य नेतुर्मर्तो वुरीत सख्यम्। विश्वो रायऽइषुध्यति द्युम्नं वृणीत पुष्यसे स्वाहा ॥६७ ॥
498	11.68	11	68	498	मा सु भित्था मा सु रिषोऽम्ब धृष्णु वीरयस्व सु। अग्निश्चेदं करिष्यथः ॥६८ ॥
499	11.69	11	69	499	दृꣳहस्व देवि पृथिवि स्वस्तयऽआसुरी माया स्वधया कृतासि। जुष्टं देवेभ्यऽइदमस्तु हव्यमरिष्टा त्वमुदिहि यज्ञेऽअस्मिन् ॥६९ ॥
500	11.70	11	70	500	द्र्वन्नः सर्पिरासुतिः प्रत्नो होता वरेण्यः। सहसस्पुत्रोऽअद्भुतः ॥७० ॥
501	11.71	11	71	501	परस्याऽअधि संवतोऽवराँ२ऽअभ्यातर। यत्राहमस्मि ताँ२ऽअव ॥७१ ॥
502	11.72	11	72	502	परमस्याः परावतो रोहिदश्वऽइहागहि। पुरीष्यः पुरुप्रियोऽग्ने त्वं तरा मृधः ॥७२ ॥
503	11.73	11	73	503	यदग्ने कानि कानि चिदा ते दारुणि दध्मसि। सर्वं तदस्तु ते घृतं तज्जुषस्व यविष्ठ्य ॥७३ ॥
504	11.74	11	74	504	यदत्त्युपजिह्विका यद्वम्रोऽअतिसर्पति। सर्वं तदस्तु ते घृतं तज्जुषस्व यविष्ठ्य ॥७४ ॥
505	11.75	11	75	505	अहरहरप्रयावं भरन्तोऽश्वायेव तिष्ठते घासमस्मै। रायस्पोषेण समिषा मदन्तोऽग्ने मा ते प्रतिवेशा रिषाम ॥७५ ॥
506	11.76	11	76	506	नाभा पृथिव्याः समिधानेऽअग्नौ रायस्पोषाय बृहते हवामहे। इरम्मदं बृहदुक्थं यजत्रं जेतारमग्निं पृतनासु सासहिम् ॥७६ ॥
507	11.77	11	77	507	याः सेनाऽअभीत्वरीराव्याधिनीरुगणाऽउत। ये स्तेना ये च तस्करास्ताँस्तेऽअग्नेऽपिदधाम्यास्ये ॥७७ ॥
508	11.78	11	78	508	दꣳष्ट्राभ्यां मलिम्लूञ्जम्भ्यैस्तस्कराँ२ऽउत। हनुभ्या स्तेनान् भगवस्ताँस्त्वं खाद सुखादितान् ॥७८ ॥
509	11.79	11	79	509	ये जनेषु मलिम्लव स्तेनासस्तस्करा वने। ये कक्षेष्वघायवस्ताँस्ते दधामि जम्भयोः ॥७९ ॥
510	11.80	11	80	510	योऽअस्मभ्यमरातीयाद्यश्च नो द्वेषते जनः। निन्दाद्योऽअस्मान् धिप्साच्च सर्वं तं भस्मसा कुरु ॥८० ॥
511	11.81	11	81	511	सꣳशितं मे ब्रह्म सꣳशितं वीर्यं बलम्। सꣳशितं क्षत्रं जिष्णु यस्याहमस्मि पुरोहितः ॥८१ ॥
512	11.82	11	82	512	उदेषां बाहूऽअतिरमुद्वर्चोऽअथो बलम्। क्षिणोमि ब्रह्मणामित्रानुन्नयामि स्वाँ२अहम् ॥८२ ॥
513	11.83	11	83	513	अन्नपतेऽन्नस्य नो देह्यनमीवस्य शुष्मिणः। प्रप्र दातारं तारिषऽऊर्जं नो धेहि द्विपदे चतुष्पदे ॥८३ ॥
514	12.1	12	1	514	दृशानो रुक्मऽउर्व्या व्यद्यौद् दुर्मर्षमायुः श्रिये रुचानः। अग्निरमृतोऽअभवद् वयोभिर्यदेनं द्यौरजनयत् सुरेताः ॥१ ॥
515	12.2	12	2	515	नक्तोषासा समनसा विरूपे धापयेते शिशुमेकंꣳ समीची। द्यावाक्षामा रुक्मोऽअन्तर्विभाति देवाऽअग्निं धारयन् द्रविणोदाः ॥२ ॥
516	12.3	12	3	516	विश्वा रूपाणि प्रतिमुञ्चते कविः प्रासावीद् भद्रं द्विपदे चतुष्पदे। वि नाकमख्यत् सविता वरेण्योऽनु प्रयाणमुषसो विराजति ॥३ ॥
517	12.4	12	4	517	सुपर्णोऽसि गरुत्माँस्त्रिवृत्ते शिरो गायत्रं चक्षुर्बृहद्रथन्तरे पक्षौ। स्तोमऽआत्मा छन्दास्यङ्गानि यजूषि नाम। साम ते तनूर्वामदेव्यं यज्ञायज्ञियं पुच्छं धिष्ण्याः शफाः। सुपर्णोऽसि गरुत्मान् दिवं गच्छ स्वः पत ॥४ ॥
518	12.5	12	5	518	विष्णोः क्रमोऽसि सपत्नहा गायत्रं छन्दऽआरोह पृथिवीमनु विक्रमस्व विष्णोः क्रमोऽस्यभिमातिहा त्रैष्टुभं छन्दऽआरोहान्तरिक्षमनु विक्रमस्व विष्णोः क्रमोऽस्यरातीयतो हन्ता जागतं छन्दऽआरोह दिवमनु विक्रमस्व विष्णोः क्रमोऽसि शत्रूयतो हन्तानुष्टुभं छन्दऽआरोह दिशोऽनु विक्रमस्व ॥५ ॥
519	12.6	12	6	519	अक्रन्ददग्नि स्तनयन्निव द्यौः क्षामा रेरिहद् वीरुधः समञ्जन्। सद्यो जज्ञानो वि हीमिद्धोऽअख्यदा रोदसी भानुना भात्यन्तः ॥६ ॥
520	12.7	12	7	520	अग्नेऽभ्यावर्त्तिन्नभि मा निवर्त्तस्वायुषा वर्चसा प्रजया धनेन। सन्या मेधया रय्या पोषेण ॥७ ॥
521	12.8	12	8	521	अग्नेऽअङ्गिरः शतं ते सन्त्वावृतः सहस्रं तऽउपावृतः। अधा पोषस्य पोषेण पुनर्नो नष्टमाकृधि पुनर्नो रयिमाकृधि ॥८ ॥
522	12.9	12	9	522	पुनरूर्जा निवर्त्तस्व पुनरग्नऽइषायुषा। पुनर्नः पाह्यꣳहसः ॥९ ॥
523	12.10	12	10	523	सह रय्या निवर्त्तस्वाग्ने पिन्वस्व धारया। विश्वप्स्न्या विश्वतस्परि ॥१० ॥
524	12.11	12	11	524	आ त्वाहार्षमन्तरभूर्ध्रुवस्तिष्ठाविचाचलिः। विशस्त्वा सर्वा वाञ्छन्तु मा त्वद्राष्ट्रमधिभ्रशत् ॥११ ॥
525	12.12	12	12	525	उदुत्तमं वरुण पाशमस्मदवाधमं वि मध्यमꣳ श्रथाय। अथा वयमादित्य व्रते तवानागसोऽअदितये स्याम ॥१२ ॥
526	12.13	12	13	526	अग्रे बृहन्नुषसामूर्ध्वोऽअस्थान्निर्जगन्वान् तमसो ज्योतिषागात्। अग्निर्भानुना रुशता स्वङ्गऽआ जातो विश्वा सद्मान्यप्राः ॥१३ ॥
527	12.14	12	14	527	हꣳसः शुचिषद् वसुरन्तरिक्षसद्धोता वेदिषदतिथिर्दुरोणसत्। नृषद् वरसदृतसद् व्योमसदब्जा गोजाऽऋतजाऽअद्रिजाऽऋतं बृहत् ॥१४ ॥
528	12.15	12	15	528	सीद त्वं मातुरस्याऽउपस्थे विश्वान्यग्ने वयुनानि विद्वान्। मैनां तपसा मार्चिषाऽभिशोचीरन्तरस्या शुक्रज्योतिर्विभाहि ॥१५ ॥
529	12.16	12	16	529	अन्तरग्ने रुचा त्वमुखायाः सदने स्वे। तस्यास्त्वꣳ हरसा तपञ्जातवेदः शिवो भव ॥१६ ॥
530	12.17	12	17	530	शिवो भूत्वा मह्यमग्नेऽअथो सीद शिवस्त्वम्। शिवाः कृत्वा दिशः सर्वाः स्वं योनिमिहासदः ॥१७ ॥
531	12.18	12	18	531	दिवस्परि प्रथमं जज्ञेऽअग्निरस्मद् द्वितीयं परि जातवेदाः। तृतीयमप्सु नृमणाऽअजस्रमिन्धानऽएनं जरते स्वाधीः ॥१८ ॥
532	12.19	12	19	532	विद्मा तेऽअग्ने त्रेधा त्रयाणि विद्मा ते धाम विभृता पुरुत्रा। विद्मा ते नाम परमं गुहा यद्विद्मा तमुत्सं यतऽआजगन्थ ॥१९ ॥
